date,model,rmse,mae,cycles
2026-07-28,frozen state law,0.04439157946409022,0.03263643231858056,6
2026-07-28,frozen time law,0.06515112687229883,0.05164989088363885,6
2026-07-29,frozen state law,0.04631854787035538,0.03728114697866938,4
2026-07-29,frozen time law,0.07115366533376802,0.058468065027246746,4
