timestamp,ambient_temperature,environment_temperature,environment_relative_humidity,water_in_temperature,water_out_temperature,water_temperature_setpoint,water_flow,evaporating_pressure,evaporating_temperature,coil_temperature,suction_temperature,superheat,compressor_frequency,compressor_frequency_setpoint,compressor_power,fan_speed,fan_current,exv_opening,heating_capacity,power_total,cop,evaporator_capacity,water_delta_temperature,cycle,date,minute,early,evaporating_temperature_normal,coil_temperature_normal,suction_temperature_normal,heating_capacity_normal,cop_normal,evaporator_capacity_normal,water_delta_temperature_normal,z_r,z_a,z_coil,z_suction,D_Q,D_COP,D_Qe_proxy,D_deltaT,rate_1m,rate_3m,rate_5m,z_mean_5m,z_std_5m,z_lag_1m,z_lag_2m,z_lag_3m,z_lag_4m,z_lag_5m,phase
2026-07-16 11:30:00,0.235,,,45.055,49.44,50.0,1.5254999999999999,0.38,-7.0,-3.41,-4.620000000000001,2.395,71.0,72.0,2.4096,401.0,0.3894444444444445,164.0,7.4455,2.59435,2.869420900983894,5.0341499999999995,4.390000000000001,frost_cycle_000011,2026-07-16,0.0,True,-6.9390017841254945,-3.3936115376890643,-2.0496727470984,7.353760174986256,2.7964263025764593,4.935789245245235,4.081442691542253,0.06099821587450549,7.235,0.016388462310935825,2.570327252901601,-0.012475226663740902,-0.026102814989324763,-0.01992807023709875,-0.07560005904215039,,,,,,,,,,,cold candidate
2026-07-16 11:31:00,-0.265,,,44.9725,49.21222222222222,50.0,1.5252499999999998,0.3725,-7.6,-3.9008333333333334,-5.1575,2.3172222222222225,72.0,73.0,2.4056,401.0,0.4,161.5,7.38,2.5962500000000004,2.7648733702982167,4.9574,4.275000000000006,frost_cycle_000011,2026-07-16,1.0,True,-7.537725216207776,-3.9539115833306706,-2.2248352127603663,7.2892731571593545,2.7470013168053216,4.843271663469012,4.128181595249501,0.06227478379222351,7.335,-0.053078249997337235,2.9326647872396334,-0.012446624085082458,-0.006506022907073028,-0.023564306208923913,-0.03556490947962554,0.001276567917718019,,,,,0.06099821587450549,,,,,cold candidate
2026-07-16 11:32:00,-0.78,,,44.87499999999999,49.12,50.0,1.524,0.36549999999999994,-8.205,-4.625,-4.8149999999999995,3.375,73.0,74.0,2.4722000000000004,400.0,0.4,159.5,7.2265,2.66015,2.714602048197873,4.754299999999999,4.270000000000007,frost_cycle_000011,2026-07-16,2.0,True,-8.154974561230171,-4.5081662984738315,-2.4528197373218776,7.2265,2.701695014733729,4.753096714685032,4.178069267010499,0.05002543876982912,7.425,0.11683370152616845,2.362180262678122,0.0,-0.00477738360316593,-0.00025315818027626946,-0.022003161535731675,-0.012249345022394387,,,,,0.06227478379222351,0.06099821587450549,,,,cold candidate
2026-07-16 11:33:00,-1.2550000000000003,,,44.769999999999996,48.97,50.0,1.523,0.36,-8.7,-4.995,-4.025,4.6675,73.0,74.0,2.4577999999999998,401.0,0.4,157.5,7.040000000000001,2.6439,2.663639803253879,4.5774,4.199999999999999,frost_cycle_000011,2026-07-16,3.0,True,-8.546322767138536,-4.918091908055966,-2.593803097186026,7.132259750565305,2.6806889692012517,4.675609005009917,4.13716405730767,0.1536772328614635,7.4449999999999985,0.07690809194403414,1.4311969028139742,0.01293555672281732,0.006359994069902397,0.021004537570332715,-0.015188167987039147,0.10365179409163439,0.03089300566231934,,0.08174391782450541,0.048269711190053015,0.05002543876982912,0.06227478379222351,0.06099821587450549,,,cold candidate
2026-07-16 11:34:00,-1.58,,,44.60000000000001,48.934999999999995,50.0,1.4775,0.36,-8.7,-5.2250000000000005,-3.975,4.73,74.0,75.0,2.4647,400.0,0.4,155.5,7.0595,2.652738888888889,2.6658025228769526,4.6005,4.319999999999986,frost_cycle_000011,2026-07-16,4.0,True,-9.015607103954094,-5.332880292079303,-2.833746119842787,7.090230587875601,2.637058247379991,4.6005,4.374152943448456,-0.3156071039540951,7.119999999999999,-0.10788029207930272,1.1412538801572132,0.004334215579412937,-0.010900129159270744,0.0,0.012380212614554131,-0.4692843368155586,-0.12596062924877285,,0.00227371346878531,0.18255147401617416,0.1536772328614635,0.05002543876982912,0.06227478379222351,0.06099821587450549,,cold candidate
2026-07-16 11:35:00,-1.8250000000000002,,,44.510000000000005,49.0,50.0,1.4692500000000002,0.35,-9.5,-5.690000000000001,-3.0300000000000002,6.45,75.0,76.0,2.5384,400.0,0.4,155.0,7.0105,2.7303500000000005,2.5682936639620504,4.4732,4.489999999999995,frost_cycle_000011,2026-07-16,5.0,True,-9.377057023438198,-5.632673609744966,-3.0300000000000002,7.097086220919046,2.6060364629362054,4.572794558213316,4.4687056089145205,0.1229429765618022,7.675,0.057326390255035165,0.0,0.01220024926058072,0.01448283610415424,0.021779801595160464,-0.004765225760899217,0.4385500805158973,0.024305845930657693,0.01238895213745934,0.02238525731762146,0.17054875463715438,-0.3156071039540951,0.1536772328614635,0.05002543876982912,0.06227478379222351,0.06099821587450549,cold candidate
2026-07-16 11:36:00,-2.0700000000000003,,,44.5,48.919999999999995,50.0,1.4700000000000002,0.35,-9.5,-5.9,-1.9749999999999999,7.544999999999999,75.0,76.0,2.5339,400.0,0.4,155.0,7.0145,2.7257000000000002,2.5734680724280983,4.4806,4.419999999999995,frost_cycle_000011,2026-07-16,6.0,True,-9.55654691777044,-5.792456977144403,-3.177931788839919,7.070366688634235,2.602368161020985,4.551958622349284,4.4402404731575205,-0.056546917770440075,7.43,0.10754302285559714,-1.202931788839919,0.007901526341489773,0.01110530363296025,0.015676465510676252,0.0045584182388059835,-0.17948989433224227,-0.0700747168773012,-0.023764340312532717,0.0027944017101305305,0.17197145489669896,0.1229429765618022,-0.3156071039540951,0.1536772328614635,0.05002543876982912,0.06227478379222351,cold candidate
2026-07-16 11:37:00,-2.3549999999999995,,,44.5,48.897499999999994,50.0,1.473,0.35,-9.5,-5.975,-2.045,7.465000000000001,75.0,76.0,2.526738888888889,400.5,0.4,155.0,7.06,2.7187,2.59778489163631,4.534222222222222,4.397499999999994,frost_cycle_000011,2026-07-16,7.0,True,-9.755452613512182,-5.975,-3.3426710303004845,7.0431875760953275,2.59778489163631,4.531384512375499,4.397499999999994,-0.2554526135121815,7.1450000000000005,0.0,-1.2976710303004846,-0.0023870475864840035,0.0,-0.0006262346174712441,0.0,-0.19890569574174144,0.020051496813971188,-0.061095610456402126,-0.05016016450727031,0.19707835752075853,-0.056546917770440075,0.1229429765618022,-0.3156071039540951,0.1536772328614635,0.05002543876982912,cold candidate
2026-07-16 11:38:00,-2.6050000000000004,,,44.5,48.89999999999999,50.0,1.467,0.35,-9.5,-6.0,-2.9499999999999997,6.605,76.0,77.0,2.53475,401.0,0.4,155.0,7.103999999999999,2.72745,2.611880991264737,4.574250000000001,4.3999999999999915,frost_cycle_000011,2026-07-16,8.0,True,-10.086283447633328,-6.238058482586316,-3.5700504439249303,7.069562789976674,2.5687364330088074,4.518489118629585,4.4798818757392596,-0.5862834476333276,6.895,-0.23805848258631634,-0.6200504439249306,-0.0048711937422991625,-0.01679602379656897,-0.012340603220779123,0.017831245991522082,-0.3308308341211461,-0.23640880806504327,-0.14799213609895823,-0.1562116455744631,0.28429172158260074,-0.2554526135121815,-0.056546917770440075,0.1229429765618022,-0.3156071039540951,0.1536772328614635,cold candidate
2026-07-16 11:39:00,-2.8149999999999995,,,44.47888888888889,48.973888888888894,50.0,1.4600000000000002,0.33999999999999997,-10.400000000000002,-6.33,-3.2444444444444445,7.155555555555555,77.0,78.0,2.613,401.0,0.4,155.0,7.048388888888889,2.8095000000000003,2.5082844963263495,4.434277777777778,4.509999999999998,frost_cycle_000011,2026-07-16,9.0,True,-10.400000000000002,-6.481128796117562,-3.7774627346300145,7.095506808985988,2.5408611755950568,4.505238017178367,4.5716943700578145,0.0,7.585000000000003,-0.15112879611756203,-0.53301829018557,0.006640529191998978,0.012821117336754062,0.015750608320807657,0.01349485881249679,0.5862834476333276,0.01884897259014669,0.06312142079081902,-0.18182451771804034,0.2563371844739427,-0.5862834476333276,-0.2554526135121815,-0.056546917770440075,0.1229429765618022,-0.3156071039540951,cold candidate
