model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260721,1.0,1.0,1.0,36,2,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260723,0.9444444444444444,0.9383326988960792,0.9938271604938271,108,6,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260724,0.9270833333333334,0.927012056044314,0.9934895833333333,96,4,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260727,0.8999999999999999,0.8911070780399275,0.9578703703703704,96,5,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260728,0.9340277777777778,0.9310146593848807,0.9675925925925926,120,6,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260729,0.9375,0.9238095238095239,0.9675925925925926,120,6,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260730,0.8576388888888888,0.8472850678733032,0.9409722222222222,120,6,1
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260731,0.8690476190476191,0.8632367307066102,0.9454365079365079,120,7,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,all_held_out_predictions,0.9312899106002555,0.9171985080812267,0.9660280970625799,888,45,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260715,1.0,1.0,1.0,24,1,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260717,0.5,0.3333333333333333,0.9652777777777778,24,1,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260720,0.9583333333333333,0.9582608695652174,0.9166666666666666,24,1,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260721,1.0,1.0,1.0,36,2,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260723,0.9861111111111112,0.9794442329653598,1.0,108,6,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260724,0.9479166666666667,0.9479110146500271,0.9895833333333334,96,4,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260727,0.925,0.9039039039039038,0.9694444444444444,96,5,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260728,0.9652777777777778,0.9572619132416839,0.9537037037037037,120,6,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260729,0.9444444444444444,0.9321266968325792,0.9453125,120,6,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260730,0.8784722222222222,0.8575319505552064,0.927662037037037,120,6,1
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260731,0.9226190476190477,0.8815939278937381,0.9682539682539683,120,7,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,all_held_out_predictions,0.9121966794380587,0.9007563352826511,0.9387239250744999,888,45,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260715,1.0,1.0,1.0,24,1,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260717,0.5,0.3333333333333333,0.9791666666666667,24,1,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260720,1.0,1.0,1.0,24,1,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260721,1.0,1.0,1.0,36,2,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260723,0.9097222222222222,0.8984962406015038,0.9753086419753086,108,6,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260724,0.875,0.873015873015873,0.98828125,96,4,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260727,0.925,0.9039039039039038,0.9421296296296297,96,5,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260728,0.9652777777777778,0.9572619132416839,0.9618055555555556,120,6,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260729,0.9375,0.9238095238095239,0.9256365740740741,120,6,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260730,0.8888888888888888,0.8660714285714286,0.9039351851851851,120,6,1
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260731,0.9146825396825397,0.8802854731026015,0.9365079365079365,120,7,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,all_held_out_predictions,0.9161238825031929,0.9082403445826722,0.952314814814815,888,45,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260715,0.75,0.7333333333333334,1.0,24,1,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260717,0.7916666666666667,0.7822141560798548,1.0,24,1,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260720,1.0,1.0,1.0,24,1,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260721,1.0,1.0,1.0,36,2,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260723,0.9444444444444444,0.9205882352941177,0.974537037037037,108,6,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260724,0.9791666666666667,0.9791576204950065,1.0,96,4,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260727,0.9333333333333333,0.9142857142857144,0.9523148148148148,96,5,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260728,0.9652777777777778,0.9572619132416839,0.9574652777777778,120,6,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260729,0.8854166666666666,0.8867513611615245,0.9537037037037037,120,6,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260730,0.8506944444444444,0.8321678321678322,0.888888888888889,120,6,1
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260731,0.9047619047619048,0.886039886039886,0.9457671957671958,120,7,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,all_held_out_predictions,0.9129310344827586,0.9038237447200536,0.9489303959131545,888,45,11
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260715,1.0,1.0,1.0,24,1,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260717,0.5,0.3333333333333333,0.5,24,1,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260720,1.0,1.0,1.0,24,1,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260721,1.0,1.0,1.0,36,2,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260723,0.9166666666666666,0.899665551839465,0.9861111111111112,108,6,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260724,0.9375,0.9372549019607843,0.9973958333333334,96,4,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260727,0.925,0.9039039039039038,0.9490740740740741,96,5,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260728,0.9652777777777778,0.9572619132416839,0.9580439814814815,120,6,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260729,0.9305555555555556,0.9155167558434244,0.9186921296296297,120,6,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260730,0.8819444444444444,0.8578496272036792,0.90625,120,6,1
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260731,0.9166666666666667,0.8731501057082452,0.9272486772486773,120,7,1
