cycle_name,experiment_id,state,image_count,feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,centroid_distance,camera_group
frost_cycle_000067,exp_20260730,fixed_time,80,0.20771894,0.06451136,0.25856534,-0.22194223,-0.6392252,0.61359096,-0.23329821,-0.1370468,0.1867548,-0.045264304,0.5049547,-0.31123683,-0.57754266,0.61416286,-0.15880951,-0.1332587,0.15005246,0.092254736,0.08651248,-0.21991925,-0.4147827,0.48118988,0.48478073,-0.12815191,0.10618808,0.1640951,0.12038348,0.3620426,0.31956673,0.27438283,-0.374812,-0.048114024,-0.26441807,-0.042563938,0.0,0.0,0.0,0.0,0.0,0.0,0.06415958,top_pair
frost_cycle_000068,exp_20260730,optimum,32,0.387138,0.49175578,-0.16870855,-0.39773834,-0.520559,0.5287245,-0.13189486,-0.13704678,0.3916052,0.44449824,-0.29651827,-0.26277107,-0.45989752,0.46937585,-0.2675527,-0.1332587,0.30224347,0.6931793,-0.8740694,-0.1415793,-0.31127223,0.36737442,0.20296903,-0.12815191,0.09817289,0.11309903,0.031927332,0.5712272,0.48440176,0.4048096,-0.91315705,-0.43355405,-0.38388428,-0.091310605,0.0,0.0,0.0,0.0,0.0,0.0,0.31797612,top_pair
frost_cycle_000068,exp_20260730,fixed_time,32,0.26117232,0.10705279,0.22391956,-0.16440123,-0.6833254,0.6153251,-0.25804254,-0.13704678,0.23947701,-0.049085625,0.51251125,-0.34195727,-0.5407907,0.58666605,-0.17487387,-0.1332587,0.19684093,0.19631016,-0.0029559955,-0.24759433,-0.43383443,0.48175514,0.66188264,-0.12815191,0.10577536,0.17823628,0.12736587,0.42820355,0.3745619,0.33953804,-0.51440686,-0.005021423,-0.3405079,-0.07093538,0.0,0.0,0.0,0.0,0.0,0.0,0.10446707,top_pair
frost_cycle_000070,exp_20260731,optimum,80,0.10782276,0.29754233,0.04023976,-0.3393089,-0.43546885,0.47398537,-0.15469846,-0.1370468,0.08340049,0.21401758,0.18323204,-0.36092383,-0.3344287,0.42804837,-0.28732413,-0.1332587,0.03015067,0.43074408,-0.25619376,-0.28916654,-0.19034815,0.37159717,-0.05815927,-0.12815191,0.13712373,0.16902001,0.1102288,0.35680276,0.29676613,0.2519278,-0.5123035,-0.20977566,-0.32296744,-0.20394771,0.0,0.0,0.0,0.0,0.0,0.0,0.15689448,top_pair
frost_cycle_000070,exp_20260731,fixed_time,80,-0.06896738,-0.007316661,0.119123295,-0.24233541,0.08985765,0.028133262,-0.28472763,-0.1370468,-0.098224245,-0.04356594,0.25029692,-0.26567137,0.15836723,-0.0040585934,-0.292267,-0.1332587,-0.08707754,-0.001730895,0.1055745,-0.3006813,0.13662608,0.13439019,-0.3322147,-0.12815191,0.0701248,0.10080613,0.15102562,-0.019475322,-0.0072238445,0.01363123,0.1022253,-0.05993691,0.040670626,-0.13092995,0.0,0.0,0.0,0.0,0.0,0.0,0.2548663,top_pair
frost_cycle_000071,exp_20260731,optimum,80,0.2765073,0.4192334,-0.08073407,-0.34582454,-0.5803395,0.57698685,-0.035343338,-0.1370468,0.26897368,0.27940416,0.02624343,-0.3452774,-0.4561788,0.5154936,-0.25766692,-0.1332587,0.18768893,0.64768815,-0.592751,-0.21761632,-0.3072677,0.40697542,0.03362345,-0.12815191,0.151592,0.16671005,0.036551066,0.5306406,0.44042468,0.35968876,-0.7892982,-0.24295802,-0.37078327,-0.089806885,0.0,0.0,0.0,0.0,0.0,0.0,0.25416246,top_pair
frost_cycle_000071,exp_20260731,fixed_time,80,0.1586471,0.11727788,0.20459238,-0.1955411,-0.59346306,0.5614844,-0.19060203,-0.1370468,0.12706484,0.009082938,0.4087968,-0.2939876,-0.48573494,0.5338092,-0.20082393,-0.1332587,0.0908214,0.1901269,0.023997273,-0.22651048,-0.3193419,0.40923643,0.24627498,-0.12815191,0.11411133,0.16159987,0.10216534,0.3533778,0.29221246,0.24075237,-0.39889064,-0.04825895,-0.3102441,-0.085095,0.0,0.0,0.0,0.0,0.0,0.0,0.046954963,top_pair
frost_cycle_000072,exp_20260731,optimum,80,0.074962124,-0.19275679,0.32213026,-0.14087714,-0.21385936,0.24667184,-0.1944835,-0.1370468,0.055761922,-0.1674042,0.39519492,-0.1627865,-0.27290162,0.31688684,-0.053773563,-0.1332587,0.06593612,-0.411946,0.4970631,-0.18632798,-0.08944666,0.1961026,0.33094776,-0.12815191,0.030271668,0.073177636,0.12441341,0.035276473,0.02200513,0.008112016,0.12543085,0.06905114,-0.037556678,0.0739304,0.0,0.0,0.0,0.0,0.0,0.0,0.1351639,top_pair
frost_cycle_000072,exp_20260731,fixed_time,80,0.24277028,0.05567491,0.20244488,-0.118114635,-0.6163014,0.5517901,-0.21777232,-0.1370468,0.23669,-0.06606917,0.45526996,-0.23842366,-0.5214728,0.5223032,-0.11432371,-0.1332587,0.19262485,0.046675235,0.07523923,-0.19339564,-0.4235198,0.45252818,0.70906675,-0.12815191,0.06773789,0.107909895,0.12483652,0.34287968,0.29220018,0.26780573,-0.2889774,0.082904,-0.22936754,0.012177134,0.0,0.0,0.0,0.0,0.0,0.0,0.0874036,top_pair
frost_cycle_000073,exp_20260731,optimum,80,0.049988057,-0.21118717,0.3106771,-0.09357512,-0.16941817,0.19235058,-0.15760957,-0.1370468,0.038807187,-0.17547138,0.33530882,-0.101498246,-0.23049918,0.25489563,0.052498113,-0.1332587,0.057709593,-0.41653934,0.44418135,-0.13351898,-0.10952989,0.19284408,0.3561557,-0.12815191,0.022109842,0.05839225,0.113393545,0.0028328658,0.00020939112,-0.010864211,0.21014886,0.0654055,0.081961155,0.059947103,0.0,0.0,0.0,0.0,0.0,0.0,0.14949457,top_pair
