experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,model,camera_group,modality,regret_threshold
exp_20260717,True,0.5,0.3333333333333333,0.9652777777777778,0.039759992458746195,24,1,mlp,top,rgb,0.01
exp_20260720,True,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933,24,1,mlp,top,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,mlp,top,rgb,0.01
exp_20260723,True,0.9861111111111112,0.9794442329653598,1.0,0.00014416562451424696,108,6,mlp,top,rgb,0.01
exp_20260724,True,0.9479166666666667,0.9479110146500271,0.9895833333333334,0.0006340675901139058,96,4,mlp,top,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9694444444444444,0.0008730975026837629,96,5,mlp,top,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9537037037037037,0.00039383945755213875,120,6,mlp,top,rgb,0.01
exp_20260729,True,0.9444444444444444,0.9321266968325792,0.9453125,0.0013012106282449855,120,6,mlp,top,rgb,0.01
exp_20260730,True,0.8784722222222222,0.8575319505552064,0.927662037037037,0.0028757325936486383,120,6,mlp,top,rgb,0.01
exp_20260731,True,0.9226190476190477,0.8815939278937381,0.9682539682539683,0.0011891862098300568,120,7,mlp,top,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,logistic,top_close,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,0.9791666666666667,0.039759992458746195,24,1,logistic,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,logistic,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,logistic,top_close,rgb,0.01
exp_20260723,True,0.9097222222222222,0.8984962406015038,0.9753086419753086,0.0013775318637545858,108,6,logistic,top_close,rgb,0.01
exp_20260724,True,0.875,0.873015873015873,0.98828125,0.002409469015449736,96,4,logistic,top_close,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9421296296296297,0.0008730975026837629,96,5,logistic,top_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9618055555555556,0.00039383945755213875,120,6,logistic,top_close,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9256365740740741,0.0014014032742416832,120,6,logistic,top_close,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.9039351851851851,0.0027711139859976355,120,6,logistic,top_close,rgb,0.01
exp_20260731,True,0.9146825396825397,0.8802854731026015,0.9365079365079365,0.001201814824887657,120,7,logistic,top_close,rgb,0.01
exp_20260715,True,0.75,0.7333333333333334,1.0,0.013717598527885129,24,1,random_forest,top_close,rgb,0.01
exp_20260717,True,0.7916666666666667,0.7822141560798548,1.0,0.005399109669268103,24,1,random_forest,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,random_forest,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,random_forest,top_close,rgb,0.01
exp_20260723,True,0.9444444444444444,0.9205882352941177,0.974537037037037,0.0012084625537109347,108,6,random_forest,top_close,rgb,0.01
exp_20260724,True,0.9791666666666667,0.9791576204950065,1.0,0.00036906834726360916,96,4,random_forest,top_close,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9523148148148148,0.000788254753615264,96,5,random_forest,top_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9574652777777778,0.00039383945755213875,120,6,random_forest,top_close,rgb,0.01
exp_20260729,True,0.8854166666666666,0.8867513611615245,0.9537037037037037,0.002094611414255825,120,6,random_forest,top_close,rgb,0.01
exp_20260730,True,0.8506944444444444,0.8321678321678322,0.888888888888889,0.0034469915541723377,120,6,random_forest,top_close,rgb,0.01
exp_20260731,True,0.9047619047619048,0.886039886039886,0.9457671957671958,0.001453608951793277,120,7,random_forest,top_close,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,top_close,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,0.5,0.023002229936077225,24,1,rbf_svm,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,rbf_svm,top_close,rgb,0.01
exp_20260723,True,0.9166666666666666,0.899665551839465,0.9861111111111112,0.00143734458507222,108,6,rbf_svm,top_close,rgb,0.01
exp_20260724,True,0.9375,0.9372549019607843,0.9973958333333334,0.0008658338862633687,96,4,rbf_svm,top_close,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9490740740740741,0.0008730975026837629,96,5,rbf_svm,top_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9580439814814815,0.00039383945755213875,120,6,rbf_svm,top_close,rgb,0.01
