model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.00114419110398908,0.00044432761308980457,0.0019765390197744744,11,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9447420634920636,0.9179511634199135,0.9703330176767675,11,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,macro_f1,0.9384222234959096,0.9117590463417717,0.9660339825339391,11,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,auroc,0.9677514229597562,0.9448547979797979,0.9885593284030784,11,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0014553888440475117,0.0005435783857940473,0.002519782955447818,11,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9485299422799423,0.9274711399711401,0.9688866341991342,11,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,macro_f1,0.9390462004052048,0.914203368719497,0.9632093671290117,11,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,auroc,0.9746726942039442,0.9516073589315777,0.9932924388979076,11,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0012057641324356484,0.0006079675652783295,0.001847080815656117,11,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.8947781385281387,0.8038690476190475,0.95864898989899,11,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,macro_f1,0.8745786604106282,0.7544468973277237,0.95283467149997,11,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,auroc,0.9688163880872215,0.9473885055916306,0.988541165624499,11,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.003393282362706003,0.0006849759813129575,0.0076494532348125215,11,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9478084415584416,0.9229342532467532,0.9731748286435786,11,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,macro_f1,0.9364527493682769,0.9052253417445195,0.9679879442293212,11,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,auroc,0.9737982503607502,0.9545139264670516,0.9918771043771044,11,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0010722932774785998,0.00045763270232372535,0.0017749531450590675,11,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.919761640798226,0.8692486988790343,0.9624368686868686,11,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9054985865626037,0.8452376800221728,0.9571496162766882,11,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,auroc,0.9551477041759052,0.9183094714292312,0.9863925715488214,11,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.001921480131877499,0.0006117536668386181,0.0037147803366520925,11,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9380142892338014,0.906023843619118,0.968560837028825,11,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9267309350605349,0.8835990240501777,0.9641404382643154,11,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,auroc,0.9679948836262354,0.9532410214312844,0.9831998850291533,11,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.00113807163267281,0.000481735869510373,0.0018934331565215738,11,11
rbf_svm,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9209657551120966,0.8788060482877555,0.9606123737373738,11,11
rbf_svm,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9184218969900164,0.8797397843991374,0.9564826714223681,11,11
rbf_svm,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,auroc,0.9594938417029373,0.9340670343552395,0.9801671734066615,11,11
rbf_svm,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.001936475782964104,0.0007351307714284299,0.0033469600357710055,11,11
hist_gradient_boosting,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9287678615422515,0.8886383653609263,0.9633901515151515,11,11
hist_gradient_boosting,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9184512217302846,0.864738634231594,0.9609050646486126,11,11
hist_gradient_boosting,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,auroc,0.9476240855369411,0.8968257454926979,0.982648972362514,11,11
hist_gradient_boosting,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.0016156883476044852,0.0007152669905115957,0.0026392099174111796,11,11
mlp,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9355506282335552,0.8941469573786647,0.9712121212121212,11,11
mlp,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9174056255279943,0.8586567921237841,0.9654323194341099,11,11
mlp,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,auroc,0.9467869754455122,0.8868308337439437,0.9871396254208753,11,11
mlp,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.0017116658692520902,0.0005853961321337269,0.003070723022754778,11,11
logistic,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9615620490620492,0.9407828282828283,0.9815128968253969,11,11
