experiment_id,cost_mae,duration_mae,event_count
exp_20260714,0.2550626861478006,2.9224489795918345,1
exp_20260715,0.1445055345142016,1.7430009794220478,3
exp_20260717,0.04151852162956998,0.5869075340089145,2
exp_20260720,0.02484332876609452,0.51292517006803,1
exp_20260721,0.045112484266074025,0.6635616822764009,3
exp_20260723,0.158730352638327,2.375757857025342,6
exp_20260724,0.1645617373307353,3.1442833222058133,4
exp_20260727,0.13798703288433384,1.6459654205357954,5
exp_20260728,0.20033723015090196,2.9925008221468183,6
exp_20260729,0.1997050823270888,2.9124667596260587,6
exp_20260730,0.3159743999994201,4.780151735306494,6
exp_20260731,0.30104005945847573,4.215851561329627,7
