camera_group,representation,model,held_out_experiment,repeat,training_experiment_count,training_cycle_count,training_image_count,test_image_count,fit_predict_seconds,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret
top,handcrafted,mlp,exp_20260715,1,8,32,624,24,0.07788779100519605,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,logistic,exp_20260715,2,2,8,144,24,0.013407374994130805,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,random_forest,exp_20260715,2,2,8,144,24,0.19822725001722574,0.9166666666666667,0.916083916083916,1.0,0.001498698530157531
top,handcrafted,rbf_svm,exp_20260715,2,2,8,144,24,0.005445042013889179,0.5,0.3333333333333333,0.8541666666666666,0.022498511741453415
top,handcrafted,hist_gradient_boosting,exp_20260715,2,2,8,144,24,0.7676582089916337,0.9166666666666667,0.916083916083916,1.0,0.001498698530157531
top,handcrafted,mlp,exp_20260715,2,2,8,144,24,0.030927332991268486,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,2,4,16,288,24,0.011847875022795051,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,2,4,16,288,24,0.25844741699984297,0.9166666666666667,0.916083916083916,1.0,0.001498698530157531
top,handcrafted,rbf_svm,exp_20260715,2,4,16,288,24,0.006738166994182393,0.6666666666666666,0.625,0.9930555555555555,0.01717721055517103
top,handcrafted,hist_gradient_boosting,exp_20260715,2,4,16,288,24,2.450336084002629,0.9166666666666667,0.916083916083916,1.0,0.001498698530157531
top,handcrafted,mlp,exp_20260715,2,4,16,288,24,0.05312362499535084,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,logistic,exp_20260715,2,6,21,408,24,0.014187875000061467,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,2,6,21,408,24,0.20168687499244697,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260715,2,6,21,408,24,0.007178125000791624,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,hist_gradient_boosting,exp_20260715,2,6,21,408,24,3.580009791010525,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,2,6,21,408,24,0.0650947910035029,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,logistic,exp_20260715,2,8,32,624,24,0.013811999990139157,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,2,8,32,624,24,0.22962749999715015,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260715,2,8,32,624,24,0.008569750003516674,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,hist_gradient_boosting,exp_20260715,2,8,32,624,24,5.7057472500018775,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,2,8,32,624,24,0.0936780420015566,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,logistic,exp_20260717,0,2,11,216,24,0.014521541015710682,0.5,0.3333333333333333,0.9166666666666667,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,0,2,11,216,24,0.2204964580014348,0.5,0.3333333333333333,0.7013888888888888,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,0,2,11,216,24,0.011253291013417765,0.5,0.3333333333333333,0.8402777777777778,0.039759992458746195
top,handcrafted,hist_gradient_boosting,exp_20260717,0,2,11,216,24,1.5932489580009133,0.5,0.3333333333333333,0.8333333333333334,0.022815574027545905
top,handcrafted,mlp,exp_20260717,0,2,11,216,24,0.034875832992838696,0.5,0.3333333333333333,0.4027777777777778,0.039759992458746195
top,handcrafted,logistic,exp_20260717,0,4,13,264,24,0.019543874979717657,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,0,4,13,264,24,0.1991397920064628,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,0,4,13,264,24,0.006287875003181398,0.5,0.3333333333333333,0.888888888888889,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,0,4,13,264,24,2.502047834015684,0.875,0.873015873015873,0.9652777777777778,0.007239149182408154
top,handcrafted,mlp,exp_20260717,0,4,13,264,24,0.03836633398896083,0.5416666666666666,0.4197802197802198,0.4027777777777778,0.03175024513013769
top,handcrafted,logistic,exp_20260717,0,6,25,492,24,0.01457229198422283,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,0,6,25,492,24,0.21189124998636544,0.5,0.3333333333333333,0.9722222222222223,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,0,6,25,492,24,0.008990041998913512,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,0,6,25,492,24,4.67345174998627,0.875,0.873015873015873,0.9166666666666667,0.007239149182408154
top,handcrafted,mlp,exp_20260717,0,6,25,492,24,0.07741041600820608,0.5416666666666666,0.4197802197802198,1.0,0.03175024513013769
top,handcrafted,logistic,exp_20260717,0,8,31,624,24,0.014594374981243163,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,0,8,31,624,24,0.22632358298869804,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,0,8,31,624,24,0.011464167007943615,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,0,8,31,624,24,5.725023125007283,0.5,0.3333333333333333,0.9583333333333333,0.022815574027545905
top,handcrafted,mlp,exp_20260717,0,8,31,624,24,0.05942775000585243,0.5,0.3333333333333333,1.0,0.039759992458746195
top,handcrafted,logistic,exp_20260717,0,10,44,864,24,0.01500612500240095,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,0,10,44,864,24,0.22726600000169128,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,0,10,44,864,24,0.011473958002170548,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,0,10,44,864,24,6.805271207995247,0.5,0.3333333333333333,0.19444444444444442,0.022815574027545905
top,handcrafted,mlp,exp_20260717,0,10,44,864,24,0.06763887501438148,0.5,0.3333333333333333,0.9652777777777778,0.039759992458746195
top,handcrafted,logistic,exp_20260717,1,2,8,144,24,0.013313833973370492,0.5,0.3333333333333333,0.08333333333333333,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,1,2,8,144,24,0.20007487499970011,0.5,0.3333333333333333,0.9791666666666667,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,1,2,8,144,24,0.005578082986176014,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,1,2,8,144,24,0.8301402909855824,0.5,0.3333333333333333,0.09722222222222221,0.022815574027545905
top,handcrafted,mlp,exp_20260717,1,2,8,144,24,0.04473083297489211,0.5416666666666666,0.4197802197802198,0.8125,0.03175024513013769
top,handcrafted,logistic,exp_20260717,1,4,15,288,24,0.013545791996875778,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,1,4,15,288,24,0.20541641602176242,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,1,4,15,288,24,0.006745666003553197,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,1,4,15,288,24,2.6303139160154387,0.5,0.3333333333333333,0.25,0.022815574027545905
top,handcrafted,mlp,exp_20260717,1,4,15,288,24,0.0332217910035979,0.5,0.3333333333333333,0.4444444444444445,0.039759992458746195
top,handcrafted,logistic,exp_20260717,1,6,25,492,24,0.012541874981252477,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,1,6,25,492,24,0.19122866599354893,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,1,6,25,492,24,0.0075185409805271775,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,1,6,25,492,24,4.246230124990689,0.5,0.3333333333333333,0.20833333333333334,0.022815574027545905
top,handcrafted,mlp,exp_20260717,1,6,25,492,24,0.05520833400078118,0.5,0.3333333333333333,1.0,0.039759992458746195
top,handcrafted,logistic,exp_20260717,1,8,32,624,24,0.015021083992905915,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,1,8,32,624,24,0.22840625001117587,0.5,0.3333333333333333,0.6388888888888888,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,1,8,32,624,24,0.007491875003324822,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,1,8,32,624,24,5.805182792013511,0.5,0.3333333333333333,0.22222222222222224,0.022815574027545905
top,handcrafted,mlp,exp_20260717,1,8,32,624,24,0.0617892500013113,0.5,0.3333333333333333,1.0,0.039759992458746195
top,handcrafted,logistic,exp_20260717,2,2,7,132,24,0.012313583021750674,0.5,0.3333333333333333,0.8541666666666667,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,2,2,7,132,24,0.1972437920048833,0.5,0.3333333333333333,0.9409722222222221,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,2,2,7,132,24,0.005426457995781675,0.5,0.3333333333333333,0.951388888888889,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,2,2,7,132,24,0.7668802909902297,0.5,0.3333333333333333,0.7638888888888888,0.022815574027545905
top,handcrafted,mlp,exp_20260717,2,2,7,132,24,0.0531547499995213,0.5,0.3333333333333333,0.8888888888888888,0.039759992458746195
top,handcrafted,logistic,exp_20260717,2,4,12,252,24,0.013309333007782698,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,2,4,12,252,24,0.19077879202086478,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,2,4,12,252,24,0.0064634589944034815,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,2,4,12,252,24,1.456407332996605,0.5,0.3333333333333333,0.75,0.022815574027545905
top,handcrafted,mlp,exp_20260717,2,4,12,252,24,0.041825916996458545,0.5,0.3333333333333333,0.9930555555555555,0.039759992458746195
top,handcrafted,logistic,exp_20260717,2,6,24,492,24,0.0158281670010183,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,2,6,24,492,24,0.19850408300408162,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,rbf_svm,exp_20260717,2,6,24,492,24,0.007652790984138846,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,2,6,24,492,24,4.672635083989007,0.5,0.3333333333333333,0.8750000000000001,0.022815574027545905
top,handcrafted,mlp,exp_20260717,2,6,24,492,24,0.05247441600658931,0.5,0.3333333333333333,0.9791666666666666,0.039759992458746195
top,handcrafted,logistic,exp_20260717,2,8,31,624,24,0.014145749999443069,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,random_forest,exp_20260717,2,8,31,624,24,0.23653866598033346,0.5,0.3333333333333333,1.0,0.022815574027545905
