cycle_name,cycle_stage,method,mode,n,metric_status,noise_ratio,noise_reduction,spike_ratio,spike_reduction,water_bias_kw,water_rmse_offset_kw,energy_error_pct,shortfall_area_error_pct,transient_retention,lag_seconds
frost_cycle_000001,recovery,median_centered_60s,offline,18,available,0.4222222222222319,0.5777777777777682,0.3642835953722922,0.6357164046277077,-0.28687019000000147,0.24554426930602258,0.4450118035678581,17.693559637293433,0.2095070422535208,20.0
frost_cycle_000001,recovery,ewma_tau30s,online,18,available,0.7336591721610657,0.2663408278389343,0.19809469319821366,0.8019053068017863,-0.2029733342938047,0.22418334372025447,0.491821804381067,29.388717146183364,0.21465816009947178,0.0
frost_cycle_000001,recovery,median30s_ewma30s,online,18,available,0.46118154573492837,0.5388184542650716,0.1922260545944002,0.8077739454055998,-0.2184707325302302,0.23118773255738947,0.5544021533322295,31.392816442769455,0.19243559490963189,10.0
frost_cycle_000001,recovery,savgol_70s,offline,18,available,0.7809523809523501,0.2190476190476499,0.3577714681244775,0.6422285318755225,-0.23171918761904164,0.22660076955405337,0.028989052103388833,6.870495233672015,0.29581656606304263,0.0
frost_cycle_000001,recovery,adaptive_offline,offline,18,available,0.1078192287376739,0.8921807712623261,0.0492122223767504,0.9507877776232496,-0.213209806946983,0.20804879700435283,0.3817783830446704,27.537097008837,0.05765396607338661,0.0
frost_cycle_000001,recovery,wavelet_offline,offline,18,available,2.7297750410910755,-1.7297750410910755,0.8155613900408082,0.1844386099591918,-0.22523876785119956,0.23733571777503268,0.002150272623225714,2.2662689862892336,0.7259788699952163,0.0
frost_cycle_000001,recovery,wavelet_monotonic_offline,constrained,18,available,2.7297750410910755,-1.7297750410910755,0.8155613900408082,0.1844386099591918,-0.22523876785119956,0.23733571777503268,0.002150272623225714,2.2662689862892336,0.7259788699952163,0.0
frost_cycle_000001,recovery,nearly_isotonic_offline,constrained,18,available,2.7297750410910755,-1.7297750410910755,0.8155613900408082,0.1844386099591918,-0.22523876785119956,0.23733571777503268,0.002150272623225714,2.2662689862892336,0.7259788699952163,0.0
frost_cycle_000001,recovery,robust_monotone_offline,constrained,18,available,2.7297750410910755,-1.7297750410910755,0.8155613900408082,0.1844386099591918,-0.22523876785119956,0.23733571777503268,0.002150272623225714,2.2662689862892336,0.7259788699952163,0.0
frost_cycle_000001,frost_development,median_centered_60s,offline,73,available,0.5500000000000955,0.4499999999999045,0.26460539144415873,0.7353946085558413,-0.7461736571428697,0.384897710526256,0.16636091312302884,4.816260448304328,0.24082934609250561,-10.0
frost_cycle_000001,frost_development,ewma_tau30s,online,73,available,1.1704649325099143,-0.17046493250991435,0.20240611631893657,0.7975938836810634,-0.7417512110092099,0.3871651103291599,0.047951874076280925,15.748177786053198,0.3143474023535939,0.0
frost_cycle_000001,frost_development,median30s_ewma30s,online,73,available,0.7170450170049549,0.28295498299504507,0.12108658268755117,0.8789134173124489,-0.7489285906569432,0.3756615449812252,0.14794525519370552,5.9553916221678,0.1918193443753095,20.0
frost_cycle_000001,frost_development,savgol_70s,offline,73,available,2.0523809523814607,-1.0523809523814607,0.23859453638972444,0.7614054636102756,-0.7511498476190512,0.39813966107748394,0.03745007077749651,6.690620222593621,0.5033290296448234,0.0
frost_cycle_000001,frost_development,adaptive_offline,offline,73,available,0.41756900387103396,0.582430996128966,0.015279429773716938,0.984720570226283,-0.7052653615611488,0.376585788905274,0.1960768884891761,18.356736970096627,0.039120345579323444,-60.0
frost_cycle_000001,frost_development,wavelet_offline,offline,73,available,1.0561167407345269,-0.05611674073452688,0.8102567592112546,0.18974324078874538,-0.7463605904119968,0.3956360260540361,0.013963827459757501,7.122457029793951,0.5987903152959579,0.0
frost_cycle_000001,frost_development,wavelet_monotonic_offline,constrained,73,available,0.0,1.0,0.04944239793171495,0.9505576020682851,-0.6680934766324089,0.45048643138865824,0.02979765818653115,72.07525308241017,0.0,0.0
frost_cycle_000001,frost_development,nearly_isotonic_offline,constrained,73,available,0.3712953841163562,0.6287046158836438,0.711383290127534,0.288616709872466,-0.7427779428571339,0.397341882641255,0.008616630509944182,11.724691806937079,0.3963982083897869,0.0
frost_cycle_000001,frost_development,robust_monotone_offline,constrained,73,available,0.0,1.0,0.019945055874330774,0.9800549441256692,-0.6857357988971717,0.44079765055554754,0.30062572735093535,45.586918177675024,0.0,0.0
frost_cycle_000001,defrost_preparation,median_centered_60s,offline,2,insufficient_data,,,0.0,1.0,-2.3550428199999898,0.5232626999999974,0.0,100.0,0.0,
frost_cycle_000001,defrost_preparation,ewma_tau30s,online,2,insufficient_data,,,0.28346868942621084,0.7165313105737892,-1.8455890581820262,0.7248089381820333,8.103288719865823,100.0,0.28346868942621084,
frost_cycle_000001,defrost_preparation,median30s_ewma30s,online,2,insufficient_data,,,0.14173434471310511,0.8582656552868949,-1.744815939091008,0.6240358190910151,9.706169570685256,100.0,0.14173434471310511,
frost_cycle_000001,defrost_preparation,savgol_70s,offline,2,insufficient_data,,,1.0,0.0,-2.35504281999999,1.2342626999999973,0.0,0.0,1.0,
frost_cycle_000001,defrost_preparation,adaptive_offline,offline,2,insufficient_data,,,0.0,1.0,-2.3550428199999898,0.5232626999999974,0.0,100.0,0.0,
frost_cycle_000001,defrost_preparation,wavelet_offline,offline,2,insufficient_data,,,1.0,0.0,-2.35504281999999,1.2342626999999973,0.0,0.0,1.0,
frost_cycle_000001,defrost_preparation,wavelet_monotonic_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.35504281999999,1.2342626999999973,0.0,0.0,1.0,
frost_cycle_000001,defrost_preparation,nearly_isotonic_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.35504281999999,1.2342626999999973,0.0,0.0,1.0,
frost_cycle_000001,defrost_preparation,robust_monotone_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.35504281999999,1.2342626999999973,0.0,0.0,1.0,
frost_cycle_000001,defrost,median_centered_60s,offline,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,ewma_tau30s,online,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,median30s_ewma30s,online,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,savgol_70s,offline,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,adaptive_offline,offline,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,wavelet_offline,offline,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,wavelet_monotonic_offline,constrained,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,nearly_isotonic_offline,constrained,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
frost_cycle_000001,defrost,robust_monotone_offline,constrained,1,insufficient_data,,,,,0.714815299999997,0.0,,,,
