mode,method,cycles,median_noise_reduction,median_spike_reduction,median_water_rmse_offset_kw,median_energy_error_pct,median_shortfall_area_error_pct,median_transient_retention,median_lag_seconds,median_water_bias_kw
constrained,nearly_isotonic_offline,77,0.9999997368693399,0.1926178360183144,0.6145794813313205,0.001328313600527578,0.19464340166353503,0.4692738907398683,0.0,-0.368026050000001
constrained,robust_monotone_offline,77,1.0,0.8730763827504089,0.6865829603936956,0.29254402822738734,1.2682835130059933,0.03935304216557004,-20.0,-0.4228442121056504
constrained,wavelet_monotonic_offline,77,1.0,0.8060254599233432,0.6561539474922512,0.014036072376511508,1.573408930286083,0.0,0.0,-0.4151708672758878
offline,adaptive_offline,76,0.437373892699804,0.8995829173479608,0.5970314940196614,0.04632274107253126,0.8209407915679592,0.1218645072936127,0.0,-0.34979704669385603
offline,median_centered_60s,77,0.500000000000111,0.517946030914332,0.6133845859949055,0.04029921833811175,0.273970417829573,0.37806301050174645,0.0,-0.3712076999999834
offline,savgol_70s,77,-0.10000000000013332,0.5769238611006373,0.6100208684832746,0.004001906201102785,0.26158071670495886,0.5677210056771831,0.0,-0.3695030006802713
offline,wavelet_offline,77,-0.016477761388597578,0.1666475557328888,0.6112895529955319,0.0026652519585597793,0.1441377471846328,0.6983244584892868,0.0,-0.37180361190482714
online,ewma_tau30s,77,0.09976201475529467,0.7185131341691191,0.5970383285843538,0.1115108076308753,1.5007826985512571,0.38529355018369926,10.0,-0.35838046826800607
online,median30s_ewma30s,77,0.2354949615722245,0.7365723050041195,0.5967766688612817,0.16462916685965906,1.8830294533026892,0.33125252418224066,20.0,-0.3603387503530624
