representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7613434941543614,0.7591242009544126,0.9024810774982387,4488,6,1
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8361001704440759,0.8222827335607673,0.9439219779680351,4776,6,1
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7790082664717554,0.7748483905550705,0.9165899709082058,5286,9,1
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.8227058211312087,0.8233353539072589,0.9430382508901163,5004,6,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8157940231020547,0.8157885431784146,,44631,62,14
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.8366425053801213,0.8354353924178932,,1521,3,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.7232142857142857,0.7206348095126343,,1656,2,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.8761574074074074,0.8758520152665361,,852,1,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7745756172839506,0.7680770279123487,,2190,3,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8281415343915345,0.8281067124017222,,4140,5,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8384107462726437,0.838566252935322,,4759,6,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8529482060050659,0.8523236195008949,,4811,6,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8193809177785717,0.8203424854507247,,3540,5,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7265981454591696,0.7257681363634273,,4488,6,1
