experiment_id,evaluable,recall_before,recall_within,recall_after,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,representation,model,camera_group,modality,regret_threshold
exp_20260715,True,0.874820143884892,0.7800511508951407,0.8367816091954023,0.8305509679918117,0.8265251451851293,0.9531729994956448,0.003742462930570367,1521,3,handcrafted,logistic,all,rgb,0.01
exp_20260717,True,0.7604166666666666,0.13293650793650794,0.71875,0.5373677248677248,0.5024032352520157,0.7024092369072115,0.012693333551975832,1656,2,handcrafted,logistic,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,handcrafted,logistic,all,rgb,0.01
exp_20260721,True,0.8958333333333334,0.7898550724637681,0.9965277777777778,0.8940720611916264,0.8937392090333267,0.9840565612829911,0.003121467589185016,852,1,handcrafted,logistic,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,handcrafted,logistic,all,rgb,0.01
exp_20260724,True,0.921875,0.7222222222222222,0.7466666666666667,0.7969212962962963,0.7947145342188815,0.9137653559692588,0.0026616606656378714,2190,3,handcrafted,logistic,all,rgb,0.01
exp_20260727,True,0.8638888888888889,0.7571428571428571,0.9479166666666666,0.8563161375661376,0.8567256143706713,0.9466444860866158,0.001476600153675376,4140,5,handcrafted,logistic,all,rgb,0.01
exp_20260728,True,0.964075382803298,0.7115646258503401,0.7127592708988058,0.796133093184148,0.7960709610237933,0.9472790306442582,0.002602723584915672,4759,6,handcrafted,logistic,all,rgb,0.01
exp_20260729,True,0.9257907542579076,0.7527777777777778,0.8002316155182397,0.8262667158513084,0.8258970809543814,0.9521939567155138,0.002089363595992571,4811,6,handcrafted,logistic,all,rgb,0.01
exp_20260730,True,0.7334983498349835,0.746031746031746,0.9430485762144054,0.8075262240270451,0.8063947577137537,0.9031414119424445,0.0025234354991708467,3540,5,handcrafted,logistic,all,rgb,0.01
exp_20260731,True,0.8263090676883781,0.5902203856749312,0.7666666666666667,0.7277320400099919,0.7280606389408293,0.8749605065265224,0.00434671817586523,4488,6,handcrafted,logistic,all,rgb,0.01
exp_20260803,True,0.9160447761194029,0.6747685185185185,0.9625,0.8511044315459738,0.8416751017400913,0.9503206918981951,0.0017317564526910054,4776,6,handcrafted,logistic,all,rgb,0.01
exp_20260804,True,0.7855946398659966,0.7701525054466231,0.7975517890772128,0.7844329781299443,0.7719675918655199,0.907491751765379,0.0032734018114581663,5286,9,handcrafted,logistic,all,rgb,0.01
exp_20260805,True,0.8530092592592593,0.8649870801033591,0.8969907407407407,0.871662360034453,0.871832705053598,0.9585341259384715,0.002080629901490772,5004,6,handcrafted,logistic,all,rgb,0.01
exp_20260715,True,0.9496402877697842,1.0,0.6206896551724138,0.8567766476473992,0.8454870669086288,0.9952169892266629,0.0029590174025759665,1521,3,handcrafted,logistic,all,time,0.01
exp_20260717,True,0.75,1.0,0.9479166666666666,0.8993055555555555,0.8943989224670025,0.9831243569958849,0.002149872146054697,1656,2,handcrafted,logistic,all,time,0.01
exp_20260720,False,,,,,,,,48,1,handcrafted,logistic,all,time,0.01
exp_20260721,True,0.7708333333333334,1.0,0.9583333333333334,0.9097222222222223,0.9085007052466376,0.9916968599033816,0.0018756082555902711,852,1,handcrafted,logistic,all,time,0.01
exp_20260723,False,,,,,,,,1560,3,handcrafted,logistic,all,time,0.01
exp_20260724,True,0.40625,0.0,1.0,0.46875,0.39835390946502053,0.8060715988743542,0.012043264215676015,2190,3,handcrafted,logistic,all,time,0.01
exp_20260727,True,0.9083333333333333,0.8523809523809524,0.8541666666666666,0.871626984126984,0.8714179173748411,0.9717502204585537,0.0016898377376239216,4140,5,handcrafted,logistic,all,time,0.01
exp_20260728,True,0.9434628975265018,0.8646258503401361,0.7291011942174733,0.8457299806947037,0.8448970440069798,0.960328306835596,0.002632173357799319,4759,6,handcrafted,logistic,all,time,0.01
exp_20260729,True,0.9854014598540146,0.8625,0.7151129125651419,0.8543381241397189,0.8488355641684459,0.9630829131904766,0.0024759511976854406,4811,6,handcrafted,logistic,all,time,0.01
exp_20260730,True,0.8712871287128713,0.4074074074074074,0.5879396984924623,0.6222114115375803,0.617760891740461,0.8546119052282934,0.005336589337256266,3540,5,handcrafted,logistic,all,time,0.01
exp_20260731,True,0.9540229885057471,0.6694214876033058,0.6530612244897959,0.7588352335329495,0.7573815689941142,0.9186609243738575,0.003656104252789081,4488,6,handcrafted,logistic,all,time,0.01
exp_20260803,True,0.9776119402985075,0.71875,0.7583333333333333,0.8182317578772803,0.8155574673779733,0.9565090625293902,0.0021060590945619307,4776,6,handcrafted,logistic,all,time,0.01
exp_20260804,True,0.9095477386934674,0.6143790849673203,0.4858757062146893,0.669934176625159,0.677160876757651,0.9038047239494968,0.004699686076893952,5286,9,handcrafted,logistic,all,time,0.01
exp_20260805,True,0.8576388888888888,0.8837209302325582,0.8333333333333334,0.8582310508182601,0.858541989444198,0.9662131984079658,0.0021399425165999123,5004,6,handcrafted,logistic,all,time,0.01
exp_20260715,True,0.9697841726618706,0.8465473145780051,0.6758620689655173,0.8307311854017977,0.832338833643198,0.9588274848046129,0.0033622206460533666,1521,3,handcrafted,random_forest,all,rgb,0.01
exp_20260717,True,0.9166666666666666,0.8472222222222222,0.6267361111111112,0.796875,0.7931643427353342,0.9592095221254655,0.008976841816562978,1656,2,handcrafted,random_forest,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,handcrafted,random_forest,all,rgb,0.01
exp_20260721,True,0.8958333333333334,0.7753623188405797,1.0,0.8903985507246377,0.8903177282487628,0.9832872315442948,0.0011241900965328119,852,1,handcrafted,random_forest,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,handcrafted,random_forest,all,rgb,0.01
exp_20260724,True,0.9201388888888888,0.5879629629629629,0.7186666666666667,0.7422561728395061,0.7300280607501676,0.8844700454454616,0.0029462902949529343,2190,3,handcrafted,random_forest,all,rgb,0.01
exp_20260727,True,0.7916666666666666,0.6841269841269841,0.9875,0.8210978835978837,0.8208160370319271,0.9440980795610425,0.0020322252439569518,4140,5,handcrafted,random_forest,all,rgb,0.01
exp_20260728,True,0.9664310954063604,0.7993197278911565,0.7705845380263985,0.8454451204413052,0.8453709656185744,0.9618945051092941,0.001880098379874932,4759,6,handcrafted,random_forest,all,rgb,0.01
exp_20260729,True,0.927007299270073,0.85,0.8361320208453966,0.8710464400384899,0.8698029468304398,0.9689887879777687,0.0016785700755964346,4811,6,handcrafted,random_forest,all,rgb,0.01
exp_20260730,True,0.7953795379537953,0.763668430335097,0.9463986599664992,0.8351488760851304,0.8356070235868426,0.9222013683910166,0.0016921682488331132,3540,5,handcrafted,random_forest,all,rgb,0.01
exp_20260731,True,0.8876117496807152,0.5964187327823691,0.8,0.7613434941543614,0.7591242009544126,0.9024810774982387,0.0031516316850085263,4488,6,handcrafted,random_forest,all,rgb,0.01
exp_20260803,True,0.927860696517413,0.6116898148148148,0.96875,0.8361001704440759,0.8222827335607673,0.9439219779680351,0.0015060656034768729,4776,6,handcrafted,random_forest,all,rgb,0.01
exp_20260804,True,0.8412897822445561,0.7810457516339869,0.7146892655367232,0.7790082664717554,0.7748483905550705,0.9165899709082058,0.00295714843209713,5286,9,handcrafted,random_forest,all,rgb,0.01
exp_20260805,True,0.7818287037037037,0.7383720930232558,0.9479166666666666,0.8227058211312087,0.8233353539072589,0.9430382508901163,0.0027379455014249834,5004,6,handcrafted,random_forest,all,rgb,0.01
exp_20260715,True,0.9525179856115108,0.8516624040920716,0.7057471264367816,0.8366425053801213,0.8354353924178932,0.9572850710724404,0.005647800925238547,1521,3,handcrafted,rbf_svm,all,rgb,0.01
exp_20260717,True,0.8819444444444444,0.5376984126984127,0.75,0.7232142857142857,0.7206348095126343,0.8847596542475015,0.007907594042041641,1656,2,handcrafted,rbf_svm,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,handcrafted,rbf_svm,all,rgb,0.01
exp_20260721,True,0.8784722222222222,0.75,1.0,0.8761574074074074,0.8758520152665361,0.9568693093243567,0.0014863587204561454,852,1,handcrafted,rbf_svm,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,handcrafted,rbf_svm,all,rgb,0.01
exp_20260724,True,0.8871527777777778,0.6365740740740741,0.8,0.7745756172839506,0.7680770279123487,0.8889600353974257,0.002640391609258951,2190,3,handcrafted,rbf_svm,all,rgb,0.01
exp_20260727,True,0.7847222222222222,0.7253968253968254,0.9743055555555555,0.8281415343915345,0.8281067124017222,0.9153317350088184,0.002062992992642973,4140,5,handcrafted,rbf_svm,all,rgb,0.01
exp_20260728,True,0.9546525323910483,0.8006802721088435,0.759899434318039,0.8384107462726437,0.838566252935322,0.9525094443736898,0.0020995348859679107,4759,6,handcrafted,rbf_svm,all,rgb,0.01
exp_20260729,True,0.9197080291970803,0.8111111111111111,0.8280254777070064,0.8529482060050659,0.8523236195008949,0.9648494669721646,0.0018488335543685116,4811,6,handcrafted,rbf_svm,all,rgb,0.01
exp_20260730,True,0.8044554455445545,0.7583774250440917,0.8953098827470687,0.8193809177785717,0.8203424854507247,0.8910114544375403,0.002038463854913863,3540,5,handcrafted,rbf_svm,all,rgb,0.01
exp_20260731,True,0.8646232439335888,0.5723140495867769,0.7428571428571429,0.7265981454591696,0.7257681363634273,0.8671360823340558,0.0041049546512209175,4488,6,handcrafted,rbf_svm,all,rgb,0.01
exp_20260803,True,0.9216417910447762,0.6898148148148148,0.9583333333333334,0.8565966463976414,0.847922835023113,0.9279867908438137,0.0014844778555776156,4776,6,handcrafted,rbf_svm,all,rgb,0.01
exp_20260804,True,0.8178391959798995,0.7875816993464052,0.7269303201506592,0.777450405158988,0.7719813745996885,0.9096415816414467,0.0034065651890600756,5286,9,handcrafted,rbf_svm,all,rgb,0.01
exp_20260805,True,0.7951388888888888,0.8268733850129198,0.9375,0.8531707579672695,0.8532522020734041,0.9322911805382468,0.0023894415760593985,5004,6,handcrafted,rbf_svm,all,rgb,0.01
exp_20260715,True,0.9568345323741008,0.7135549872122762,0.6597701149425287,0.7767198781763018,0.7781149982567307,0.9370371264489051,0.004188567120964549,1521,3,handcrafted,hist_gradient_boosting,all,rgb,0.01
exp_20260717,True,0.8420138888888888,0.8194444444444444,0.6701388888888888,0.7771990740740741,0.7775389205126598,0.9343308891522145,0.01441920312080115,1656,2,handcrafted,hist_gradient_boosting,all,rgb,0.01
