cycle_name,candidate_time,heating_hours,heating_cost_kwh,integration_coverage,renewal_cost_kw,relative_regret,is_near_optimal,minutes,state_01pct
frost_cycle_000020,2026-07-20 10:14:40,0.16666666666666666,0.49691411333359653,0.99,3.853059114276891,0.2576375837939635,False,0.0,pre-optimal
frost_cycle_000020,2026-07-20 10:15:40,0.18333333333333332,0.5460205022224853,0.990909090909091,3.8161983794705345,0.24560624866936953,False,1.0,pre-optimal
frost_cycle_000020,2026-07-20 10:16:40,0.2,0.5936661966669299,0.9916666666666667,3.77879383031943,0.2333974126712417,False,2.0,pre-optimal
frost_cycle_000020,2026-07-20 10:17:40,0.21666666666666667,0.6410802244447076,0.9923076923076923,3.7436793264724493,0.22193604691886915,False,3.0,pre-optimal
frost_cycle_000020,2026-07-20 10:18:40,0.23333333333333334,0.6884918911113743,0.9928571428571429,3.7111044644155196,0.21130361964623767,False,4.0,pre-optimal
frost_cycle_000020,2026-07-20 10:19:40,0.25,0.7359671688891521,0.9933333333333333,3.680941239484913,0.20145835016137514,False,5.0,pre-optimal
frost_cycle_000020,2026-07-20 10:20:40,0.26666666666666666,0.7833643911113743,0.99375,3.6526580189419056,0.1922267136640734,False,6.0,pre-optimal
frost_cycle_000020,2026-07-20 10:21:40,0.2833333333333333,0.8306899466669297,0.9941176470588236,3.6260830008921223,0.18355263405663336,False,7.0,pre-optimal
frost_cycle_000020,2026-07-20 10:22:40,0.3,0.8779586966669298,0.9944444444444445,3.6010822202072927,0.17539238515286515,False,8.0,pre-optimal
frost_cycle_000020,2026-07-20 10:23:40,0.31666666666666665,0.9251838355558186,0.9947368421052631,3.577535082807281,0.16770660507352875,False,9.0,pre-optimal
frost_cycle_000020,2026-07-20 10:24:40,0.3333333333333333,0.9728864744447077,0.995,3.556242418226543,0.16075668438930357,False,10.0,pre-optimal
frost_cycle_000020,2026-07-20 10:25:40,0.35,1.0198853633335965,0.9944444444444445,3.534960168586112,0.15381016313913198,False,11.0,pre-optimal
frost_cycle_000020,2026-07-20 10:26:40,0.36666666666666664,1.0675550855558187,0.9954545454545455,3.5160043431894685,0.14762298621201952,False,12.0,pre-optimal
frost_cycle_000020,2026-07-20 10:27:40,0.38333333333333336,1.112188835555819,0.9956521739130435,3.4931070644299194,0.1401493198392625,False,13.0,pre-optimal
frost_cycle_000020,2026-07-20 10:28:40,0.4,1.1557420300002634,0.9958333333333333,3.4697033993358555,0.13251036908666136,False,14.0,pre-optimal
