camera_group,regret_threshold,fixed_elapsed_minutes_from_candidate_start,time_optimum_iqr_over_median,cycle_count,experiment_count,estimate,lower,upper
top,0.01,46.0,0.8928571428571429,14,3,0.2599444836378097,0.184804156422615,0.3129308521747589
top_close,0.01,46.0,0.8928571428571429,14,3,0.1248218615849812,0.0558681190013885,0.1669676303863525
left,0.01,46.0,0.8928571428571429,14,3,0.1421777158975601,0.0137397795915603,0.2088376581668853
left_close,0.01,46.0,0.8928571428571429,14,3,0.1124838689963022,0.0656045973300933,0.157474473118782
front,0.01,46.0,0.8928571428571429,14,3,0.1920736394822597,0.0562781132757663,0.3148491382598877
extreme,0.01,46.0,0.8928571428571429,14,3,0.1480396948754787,0.0447653718292713,0.2164056003093719
top_pair,0.01,46.0,0.8928571428571429,14,3,0.102277056624492,0.0488877333700656,0.1388040632009506
left_pair,0.01,46.0,0.8928571428571429,14,3,0.1236753302315871,0.0571224205195903,0.1633408069610595
all,0.01,46.0,0.8928571428571429,14,3,0.0636149433751901,0.033408585935831,0.0811479911208152
