representation,training_strategy,camera_group,condition,metric,estimate,lower,upper,experiment_count
dinov2,low_light_augmented,all,dark_60pct,balanced_accuracy,0.7249779541446207,0.6828703703703703,0.7777777777777777,3
dinov2,low_light_augmented,all,dark_60pct,balanced_misclassification_regret,0.006610228213137702,0.00633519144094537,0.006968293412423959,3
dinov2,low_light_augmented,all,gamma_1p8,balanced_accuracy,0.7791005291005292,0.7777777777777778,0.7817460317460317,3
dinov2,low_light_augmented,all,gamma_1p8,balanced_misclassification_regret,0.004867401073927962,0.003897930134863599,0.006551889321947317,3
dinov2,low_light_augmented,all,gamma_1p8_vignette,balanced_accuracy,0.7908950617283951,0.7685185185185185,0.8263888888888888,3
dinov2,low_light_augmented,all,gamma_1p8_vignette,balanced_misclassification_regret,0.004488087993894201,0.0026983412209425333,0.00564929655988169,3
dinov2,low_light_augmented,all,gamma_2p2,balanced_accuracy,0.7918871252204586,0.7777777777777778,0.8055555555555557,3
dinov2,low_light_augmented,all,gamma_2p2,balanced_misclassification_regret,0.004682336957760492,0.0035692469263993148,0.006154528197936482,3
dinov2,low_light_augmented,all,gamma_2p2_sensor_noise,balanced_accuracy,0.7595899470899471,0.7394179894179894,0.7754629629629631,3
dinov2,low_light_augmented,all,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.005557344179468787,0.0050182592434483,0.006486463495462293,3
dinov2,low_light_augmented,all,native,balanced_accuracy,0.757495590828924,0.7447089947089948,0.7777777777777778,3
dinov2,low_light_augmented,all,native,balanced_misclassification_regret,0.005425391195983657,0.0044704964015857065,0.006356030308571334,3
dinov2,low_light_augmented,front,dark_60pct,balanced_accuracy,0.7189153439153438,0.5873015873015872,0.8333333333333334,3
dinov2,low_light_augmented,front,dark_60pct,balanced_misclassification_regret,0.006648554550455724,0.004132396045082218,0.01036426573288689,3
dinov2,low_light_augmented,front,gamma_1p8,balanced_accuracy,0.8115079365079364,0.7916666666666666,0.8333333333333334,3
dinov2,low_light_augmented,front,gamma_1p8,balanced_misclassification_regret,0.0037229973991339377,0.003447932055790805,0.004132396045082218,3
dinov2,low_light_augmented,front,gamma_1p8_vignette,balanced_accuracy,0.8763227513227513,0.8333333333333334,0.9206349206349206,3
dinov2,low_light_augmented,front,gamma_1p8_vignette,balanced_misclassification_regret,0.003058231505829819,0.0024517720844303968,0.004132396045082218,3
dinov2,low_light_augmented,front,gamma_2p2,balanced_accuracy,0.8055555555555555,0.75,0.8333333333333334,3
dinov2,low_light_augmented,front,gamma_2p2,balanced_misclassification_regret,0.0037874756734014455,0.0033489791819066076,0.004132396045082218,3
dinov2,low_light_augmented,front,gamma_2p2_sensor_noise,balanced_accuracy,0.8082010582010581,0.7857142857142857,0.8333333333333334,3
dinov2,low_light_augmented,front,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.0042887932730540194,0.003831776703628395,0.004902207070451447,3
dinov2,low_light_augmented,front,native,balanced_accuracy,0.7513227513227513,0.6428571428571428,0.8333333333333334,3
dinov2,low_light_augmented,front,native,balanced_misclassification_regret,0.005551656201602052,0.0035928205563571353,0.0089297520033668,3
dinov2,native_only,all,dark_60pct,balanced_accuracy,0.7594797178130511,0.75,0.7738095238095237,3
dinov2,native_only,all,dark_60pct,balanced_misclassification_regret,0.0059105106657102715,0.004740369798067877,0.007643151638768262,3
dinov2,native_only,all,gamma_1p8,balanced_accuracy,0.76929012345679,0.6666666666666666,0.8449074074074074,3
dinov2,native_only,all,gamma_1p8,balanced_misclassification_regret,0.005517754661565674,0.003135457721251851,0.009655514067690447,3
dinov2,native_only,all,gamma_1p8_vignette,balanced_accuracy,0.7368827160493826,0.625,0.8356481481481483,3
dinov2,native_only,all,gamma_1p8_vignette,balanced_misclassification_regret,0.006355539652918519,0.0030471156360751396,0.010825223116028423,3
dinov2,native_only,all,gamma_2p2,balanced_accuracy,0.757495590828924,0.6388888888888888,0.8425925925925926,3
dinov2,native_only,all,gamma_2p2,balanced_misclassification_regret,0.005797140684920187,0.0029781788303638724,0.010942635397887375,3
dinov2,native_only,all,gamma_2p2_sensor_noise,balanced_accuracy,0.7138447971781305,0.5833333333333334,0.798941798941799,3
dinov2,native_only,all,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.007480717296942615,0.0035863682678335513,0.013264964876051345,3
dinov2,native_only,all,native,balanced_accuracy,0.7684082892416226,0.7566137566137566,0.7847222222222223,3
dinov2,native_only,all,native,balanced_misclassification_regret,0.005034822850910551,0.0038476202836272,0.006092052314846222,3
dinov2,native_only,front,dark_60pct,balanced_accuracy,0.7374338624338623,0.6428571428571428,0.8333333333333334,3
dinov2,native_only,front,dark_60pct,balanced_misclassification_regret,0.006170383307282361,0.004132396045082218,0.0089297520033668,3
dinov2,native_only,front,gamma_1p8,balanced_accuracy,0.7857142857142856,0.6904761904761904,0.8333333333333334,3
dinov2,native_only,front,gamma_1p8,balanced_misclassification_regret,0.004279383841706027,0.0028247459704142767,0.005881009509621587,3
dinov2,native_only,front,gamma_1p8_vignette,balanced_accuracy,0.6164021164021164,0.5,0.7777777777777778,3
dinov2,native_only,front,gamma_1p8_vignette,balanced_misclassification_regret,0.010485267509068136,0.0037654422416828967,0.016793119958199935,3
dinov2,native_only,front,gamma_2p2,balanced_accuracy,0.7810846560846562,0.6666666666666666,0.875,3
dinov2,native_only,front,gamma_2p2,balanced_misclassification_regret,0.00584412821165431,0.002385814733204325,0.012037541513290137,3
dinov2,native_only,front,gamma_2p2_sensor_noise,balanced_accuracy,0.738095238095238,0.6666666666666666,0.7777777777777777,3
