ridge,early_median_absolute_error_kw,early_rmse_kw,healthy_reference_p99_step_kw,selected
1e-06,0.126719770200463,0.22324392587844205,0.09939420585991367,False
0.01,0.12672323265136143,0.2232425506348373,0.09938793370376614,False
1.0,0.12653483048553227,0.22310974105256515,0.09877408688789092,False
10.0,0.12600400596129813,0.2221021396111283,0.09382462227764818,False
100.0,0.12131058514745696,0.22046171264710404,0.07518913496988999,True
1000.0,0.12101285197151856,0.23834752966805256,0.05217490807397037,False
