cycle_name,date,outside_support_fraction,median_outside_feature_count,max_outside_feature_count
frost_cycle_000001,2026-07-14,0.0,0.0,0
frost_cycle_000002,2026-07-14,0.04878048780487805,0.0,1
frost_cycle_000003,2026-07-14,0.6383442265795207,1.0,2
frost_cycle_000004,2026-07-14,0.9383561643835616,2.0,2
frost_cycle_000005,2026-07-15,0.29850746268656714,0.0,2
frost_cycle_000006,2026-07-15,0.0033333333333333335,0.0,1
frost_cycle_000007,2026-07-15,0.33394664213431463,0.0,1
frost_cycle_000008,2026-07-15,0.3615071283095723,0.0,1
frost_cycle_000009,2026-07-15,0.0,0.0,0
frost_cycle_000010,2026-07-16,0.004098360655737705,0.0,1
frost_cycle_000011,2026-07-16,0.0,0.0,0
frost_cycle_000012,2026-07-16,0.3530571992110454,0.0,3
frost_cycle_000013,2026-07-16,0.1640706126687435,0.0,1
frost_cycle_000014,2026-07-16,0.5148221343873518,1.0,1
frost_cycle_000015,2026-07-17,0.3473877176901925,0.0,1
frost_cycle_000016,2026-07-17,0.03225806451612903,0.0,1
frost_cycle_000017,2026-07-17,0.20372526193247964,0.0,1
frost_cycle_000018,2026-07-17,0.38076923076923075,0.0,1
frost_cycle_000019,2026-07-17,0.0,0.0,0
frost_cycle_000020,2026-07-20,0.3198900091659028,0.0,1
frost_cycle_000021,2026-07-20,0.5089005235602094,1.0,1
frost_cycle_000022,2026-07-20,0.15354330708661418,0.0,5
frost_cycle_000023,2026-07-21,0.0035714285714285713,0.0,1
frost_cycle_000024,2026-07-21,0.40397350993377484,0.0,1
frost_cycle_000025,2026-07-21,0.5367483296213809,1.0,1
frost_cycle_000026,2026-07-21,0.28768699654775604,0.0,1
frost_cycle_000027,2026-07-21,0.31995412844036697,0.0,1
frost_cycle_000028,2026-07-21,0.16470588235294117,0.0,1
frost_cycle_000029,2026-07-23,0.0,0.0,0
frost_cycle_000030,2026-07-23,0.0,0.0,0
frost_cycle_000031,2026-07-23,0.002840909090909091,0.0,1
frost_cycle_000032,2026-07-23,0.36114285714285715,0.0,1
frost_cycle_000033,2026-07-23,0.44730941704035876,0.0,1
frost_cycle_000034,2026-07-23,0.5304054054054054,1.0,1
frost_cycle_000035,2026-07-23,0.3968705547652916,0.0,1
frost_cycle_000036,2026-07-24,0.8325872873769025,1.0,1
frost_cycle_000037,2026-07-24,0.2742857142857143,0.0,1
frost_cycle_000038,2026-07-24,0.0,0.0,0
frost_cycle_000039,2026-07-24,0.25028312570781425,0.0,1
frost_cycle_000040,2026-07-24,0.43249427917620137,0.0,1
frost_cycle_000041,2026-07-24,0.9333333333333333,1.0,1
frost_cycle_000042,2026-07-27,0.08955223880597014,0.0,1
frost_cycle_000043,2026-07-27,0.17051282051282052,0.0,1
frost_cycle_000044,2026-07-27,0.23294117647058823,0.0,1
frost_cycle_000045,2026-07-27,0.01908957415565345,0.0,1
frost_cycle_000046,2026-07-27,0.08160237388724036,0.0,1
frost_cycle_000047,2026-07-27,0.0752212389380531,0.0,1
frost_cycle_000048,2026-07-27,0.0,0.0,0
frost_cycle_000049,2026-07-28,0.052781740370898715,0.0,1
frost_cycle_000050,2026-07-28,0.026905829596412557,0.0,1
frost_cycle_000051,2026-07-28,0.02878787878787879,0.0,1
frost_cycle_000052,2026-07-28,0.1240768094534712,0.0,1
frost_cycle_000053,2026-07-28,0.027190332326283987,0.0,1
frost_cycle_000054,2026-07-28,0.035346097201767304,0.0,1
frost_cycle_000055,2026-07-28,0.0,0.0,0
frost_cycle_000056,2026-07-29,0.10466760961810467,0.0,1
frost_cycle_000057,2026-07-29,0.051622418879056046,0.0,1
frost_cycle_000058,2026-07-29,0.10074074074074074,0.0,1
frost_cycle_000059,2026-07-29,0.014792899408284023,0.0,1
frost_cycle_000060,2026-07-29,0.1293233082706767,0.0,1
frost_cycle_000061,2026-07-29,0.1798780487804878,0.0,1
frost_cycle_000062,2026-07-29,0.0,0.0,0
frost_cycle_000063,2026-07-30,0.1473533619456366,0.0,1
frost_cycle_000064,2026-07-30,0.05846153846153846,0.0,1
frost_cycle_000065,2026-07-30,0.05623100303951368,0.0,1
frost_cycle_000066,2026-07-30,0.08649468892261002,0.0,1
frost_cycle_000067,2026-07-30,0.15644171779141106,0.0,1
frost_cycle_000068,2026-07-30,0.1404320987654321,0.0,1
frost_cycle_000069,2026-07-30,0.0,0.0,0
frost_cycle_000070,2026-07-31,0.07936507936507936,0.0,1
frost_cycle_000071,2026-07-31,0.23088455772113944,0.0,1
frost_cycle_000072,2026-07-31,0.2986217457886677,0.0,1
frost_cycle_000073,2026-07-31,0.08307692307692308,0.0,1
frost_cycle_000074,2026-07-31,0.004149377593360996,0.0,1
frost_cycle_000075,2026-07-31,0.4294032023289665,0.0,1
frost_cycle_000076,2026-07-31,0.7010785824345146,1.0,1
frost_cycle_000077,2026-07-31,0.5729166666666666,1.0,1
