model,split,true_state,predicted_state,count
color_rbf_svm,validation,pre_optimal,pre_optimal,15
color_rbf_svm,validation,pre_optimal,post_optimal,9
color_rbf_svm,validation,post_optimal,pre_optimal,0
color_rbf_svm,validation,post_optimal,post_optimal,12
color_rbf_svm,test,pre_optimal,pre_optimal,56
color_rbf_svm,test,pre_optimal,post_optimal,16
color_rbf_svm,test,post_optimal,pre_optimal,0
color_rbf_svm,test,post_optimal,post_optimal,48
