cycle,date,reason,analysis_minutes,terminal_D_Q,terminal_D_COP,terminal_state_degC,shutdown_minutes
frost_cycle_000003,2026-07-14,defrost_state_gap,172.08333333333334,0.3161659932616771,0.19184417190509612,9.699271191730709,0
frost_cycle_000004,2026-07-14,outside_complete_cycle,120.56666666666666,0.19108935695800794,0.0942168045865926,1.779225494419638,0
frost_cycle_000005,2026-07-15,outside_complete_cycle,367.4,0.4417925126335788,0.355784196519647,15.842198577263817,0
frost_cycle_000006,2026-07-15,defrost_state_gap,53.71666666666667,0.04651724901710014,0.041908595366122736,2.1236560418831205,0
frost_cycle_000007,2026-07-15,defrost_state_gap,180.13333333333333,0.45447269497872694,0.35580179386581945,15.820448879361354,0
frost_cycle_000008,2026-07-15,defrost_state_gap,171.35,0.4576249812734228,0.3601323976414133,15.641899808005242,0
frost_cycle_000012,2026-07-16,,170.86666666666667,0.41073444148413174,0.3057848822190551,19.60671783294476,0
frost_cycle_000013,2026-07-16,defrost_state_gap,175.03333333333333,0.4535627433482928,0.36248366449340524,16.522602871086097,0
frost_cycle_000014,2026-07-16,没有除霜,167.3,0.49457136144893565,0.37537517265054887,20.4441372486051,0
frost_cycle_000015,2026-07-17,outside_complete_cycle,175.65,0.436171553143476,0.31067115238668824,17.87977919315082,0
frost_cycle_000017,2026-07-17,defrost_state_gap,174.15,0.42036704003959796,0.2932050737971214,16.005364486569064,0
frost_cycle_000018,2026-07-17,,171.53333333333333,0.43936704121761844,0.3119510234070434,17.30335760957246,0
frost_cycle_000019,2026-07-17,没有除霜,62.233333333333334,0.1529638419509451,0.09720244394964672,7.113959780545331,0
frost_cycle_000020,2026-07-20,outside_complete_cycle,180.33333333333334,0.4137691799821186,0.31250787468281327,17.747594232670316,0
frost_cycle_000021,2026-07-20,defrost_state_gap,175.2,0.4672397082023333,0.3406840573971658,20.73014177649764,0
frost_cycle_000023,2026-07-21,薄霜,45.6,-0.0565270607075018,-0.037539570045043824,-0.7700644194256165,0
frost_cycle_000024,2026-07-21,厚霜,174.8,0.4464777637197094,0.31873463965694815,17.716985831204777,0
frost_cycle_000026,2026-07-21,仅有传感器信号,143.58333333333334,0.44588736411125895,0.3171109620783456,17.270764033305042,0
frost_cycle_000027,2026-07-21,仅有传感器信号,144.08333333333334,0.44821213799533927,0.3272623329440688,17.38261776952933,0
frost_cycle_000028,2026-07-21,仅有传感器信号,111.91666666666667,0.3778567379094153,0.25424293658882513,14.547469899830556,0
frost_cycle_000029,2026-07-23,薄霜,68.43333333333334,-0.024463384803728894,0.00167178908685095,0.15706238305119635,0
frost_cycle_000030,2026-07-23,薄霜,42.583333333333336,-0.02520963820882005,-0.017155811695336642,0.11709954083999019,0
frost_cycle_000031,2026-07-23,薄霜,57.483333333333334,-0.017712041491190766,-0.010450392882228488,0.5747183251924839,0
frost_cycle_000032,2026-07-23,厚霜,144.0,0.3370001952544472,0.22889078275411773,15.164759302441176,0
frost_cycle_000033,2026-07-23,厚霜,147.66666666666666,0.37714312788389376,0.24649429610504553,15.871629851808882,0
frost_cycle_000034,2026-07-23,厚霜,146.43333333333334,0.3674524613340016,0.23162685882481665,15.820762107166471,0
frost_cycle_000035,2026-07-23,没有除霜,115.41666666666667,0.19100034922457254,0.13713243241966405,9.292042493694492,0
frost_cycle_000036,2026-07-24,outside_complete_cycle,184.31666666666666,0.0858163963732077,0.0798718331838304,7.718506931543262,0
frost_cycle_000037,2026-07-24,没有除霜,144.13333333333333,0.34947204132121534,0.2505440662209299,12.473052040979708,0
frost_cycle_000039,2026-07-24,厚霜,145.85,0.29424387996502666,0.19574017001771815,12.819433355219477,0
frost_cycle_000040,2026-07-24,厚霜,144.2,0.24178240712719085,0.17858313546580246,10.160267567402055,0
frost_cycle_000041,2026-07-24,没有除霜,125.73333333333333,0.08328193349753066,0.05166797518144428,6.749827811315223,0
frost_cycle_000042,2026-07-27,薄霜,41.583333333333336,0.004790464351647206,-0.03051095860465014,0.8333196952957023,0
frost_cycle_000043,2026-07-27,短暂关机，厚霜,129.15,0.41937079163624813,0.3045187665449269,17.120264092855628,0
frost_cycle_000044,2026-07-27,厚霜,140.1,0.4398014664768417,0.3611439295122125,16.173170183200536,0
frost_cycle_000045,2026-07-27,厚霜,112.05,0.3586688167525965,0.3007603908931093,11.041899125813213,0
frost_cycle_000046,2026-07-27,厚霜,110.65,0.3757542274097207,0.2733471346773693,13.374315116139991,0
frost_cycle_000047,2026-07-27,厚霜,111.38333333333334,0.370907081655711,0.2947722934354418,12.213809492107664,0
frost_cycle_000048,2026-07-27,薄霜，没有除霜,49.4,0.04426268234167269,0.0027192899456967567,0.8153803382281755,0
frost_cycle_000049,2026-07-28,outside_complete_cycle,115.8,0.33160216528885283,0.17561042160026624,12.52708181721777,0
