early_window_minutes,target,threshold_degC,hinge_slope,hinge_rmse,linear_slope,linear_rmse
5,D_Q,0.23051733798463103,0.027320048088921953,0.0655715347178194,0.026853957954063274,0.06571681169910312
5,D_COP,0.5052149413187489,0.020950187581073434,0.04343598754988691,0.020168401053543027,0.043831790250373176
10,D_Q,-0.1606872096283312,0.02582315676806083,0.05588270036483616,0.026145671542362296,0.05594731988561181
10,D_COP,0.10168269890562005,0.019033817438837038,0.0429447685023024,0.01888300810451371,0.04297132962284743
20,D_Q,-0.5173956425856648,0.026413272803631736,0.04898068761062927,0.027437159582437934,0.050201470521217116
20,D_COP,-0.43742355729430393,0.018539721565043393,0.04104654746953121,0.019148220234213618,0.04154970224264656
