date,cycles,environment_temperature,environment_relative_humidity,heating_capacity,cop,evaporating_temperature,coil_temperature,suction_temperature,evaporator_inlet_temperature,pressure_ratio
2026-07-14,2,0.0,0.0,0.9322033898305084,0.9288135593220339,0.9322033898305084,0.9322033898305084,0.9322033898305084,0.9322033898305084,0.5186440677966102
2026-07-15,4,0.0,0.0,0.8381201044386423,0.8381201044386423,0.8381201044386423,0.8381201044386423,0.8381201044386423,0.8368146214099217,0.5130548302872062
2026-07-16,3,0.0,0.0,0.9613152804642167,0.9613152804642167,0.9613152804642167,0.9613152804642167,0.9613152804642167,0.9613152804642167,0.6344294003868471
2026-07-17,4,0.0,0.0,0.9456706281833617,0.9456706281833617,0.9456706281833617,0.9456706281833617,0.9456706281833617,0.9456706281833617,0.5365025466893039
2026-07-20,2,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.9526462395543176,0.4456824512534819
2026-07-21,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.744408945686901
2026-07-23,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8401639344262295
2026-07-24,5,0.9906790945406125,0.9906790945406125,1.0,1.0,1.0,1.0,1.0,1.0,0.8308921438082557
2026-07-27,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8662873399715505
2026-07-28,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
