camera_group,regret_threshold,fixed_elapsed_minutes_from_candidate_start,time_optimum_iqr_over_median,cycle_count,experiment_count,estimate,lower,upper
top,0.01,46.0,0.8928571428571429,14,3,0.25994448363780975,0.18480415642261505,0.3129308521747589
top_close,0.01,46.0,0.8928571428571429,14,3,0.12482186158498128,0.05586811900138855,0.16696763038635254
left,0.01,46.0,0.8928571428571429,14,3,0.14217771589756012,0.013739779591560364,0.20883765816688538
left_close,0.01,46.0,0.8928571428571429,14,3,0.11248386899630229,0.06560459733009338,0.15747447311878204
front,0.01,46.0,0.8928571428571429,14,3,0.19207363948225975,0.05627811327576637,0.3148491382598877
extreme,0.01,46.0,0.8928571428571429,14,3,0.14803969487547874,0.044765371829271317,0.21640560030937195
top_pair,0.01,46.0,0.8928571428571429,14,3,0.102277056624492,0.04888773337006569,0.13880406320095062
left_pair,0.01,46.0,0.8928571428571429,14,3,0.1236753302315871,0.05712242051959038,0.16334080696105957
all,0.01,46.0,0.8928571428571429,14,3,0.0636149433751901,0.03340858593583107,0.08114799112081528
