regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.02,top,validation,post_optimal,439,4,125
0.02,top,validation,pre_optimal,409,8,114
0.02,top_close,test,near_optimal,985,12,607
0.02,top_close,test,outside_candidate_domain,240,12,120
0.02,top_close,test,post_optimal,533,7,372
0.02,top_close,test,pre_optimal,788,12,220
0.02,top_close,train,near_optimal,3150,25,774
0.02,top_close,train,outside_candidate_domain,496,25,140
0.02,top_close,train,post_optimal,1175,15,302
0.02,top_close,train,pre_optimal,1357,25,198
0.02,top_close,validation,near_optimal,791,8,162
0.02,top_close,validation,outside_candidate_domain,160,8,40
0.02,top_close,validation,post_optimal,439,4,125
0.02,top_close,validation,pre_optimal,409,8,114
0.02,left,test,near_optimal,985,12,607
0.02,left,test,outside_candidate_domain,240,12,120
0.02,left,test,post_optimal,533,7,372
0.02,left,test,pre_optimal,788,12,220
0.02,left,train,near_optimal,3178,25,774
0.02,left,train,outside_candidate_domain,496,25,140
0.02,left,train,post_optimal,1175,15,302
0.02,left,train,pre_optimal,1328,25,169
0.02,left,validation,near_optimal,791,8,162
0.02,left,validation,outside_candidate_domain,160,8,40
0.02,left,validation,post_optimal,439,4,125
0.02,left,validation,pre_optimal,409,8,114
0.02,left_close,test,near_optimal,985,12,607
0.02,left_close,test,outside_candidate_domain,240,12,120
0.02,left_close,test,post_optimal,533,7,372
0.02,left_close,test,pre_optimal,788,12,220
0.02,left_close,train,near_optimal,3228,25,774
0.02,left_close,train,outside_candidate_domain,476,24,120
0.02,left_close,train,post_optimal,1174,15,302
0.02,left_close,train,pre_optimal,1316,25,154
0.02,left_close,validation,near_optimal,791,8,162
0.02,left_close,validation,outside_candidate_domain,160,8,40
0.02,left_close,validation,post_optimal,439,4,125
0.02,left_close,validation,pre_optimal,409,8,114
0.02,front,test,near_optimal,985,12,607
0.02,front,test,outside_candidate_domain,240,12,120
0.02,front,test,post_optimal,533,7,372
0.02,front,test,pre_optimal,788,12,220
