representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top,0.9932550449869072
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top,0.9882074243553485
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.991822946452579
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.9877157711351862
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.9713183933362625
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,extreme,0.992844875594798
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,extreme,0.9915069201957001
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,extreme,0.9925163648321385
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,front,0.9912739235872643
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,front,0.991364419851871
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,front,0.9901734321127627
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left,0.9824290775364681
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left,0.9852260295826666
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left,0.9854747819120184
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left_close,0.9878143693405967
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left_close,0.9919342369897295
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,left_close,0.9949766016460824
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top,0.9931472356210816
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top,0.9942107172266023
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top,0.993526525649344
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.9767803249035325
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.9828616730021473
dinov2,dark_60pct,exp_20260730,frost_cycle_000063,top_close,0.9840193432158943
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9946253016512077
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9954180402514071
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9929903028542847
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.9903952383797293
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.974902834587337
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.983202613252227
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9864239055568602
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9838304361294642
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9681393356260275
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9871454274771508
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9826977034839955
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9737232654771101
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.9941607335906304
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.9885498206313906
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.9836795770732528
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.9906922273574131
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.983368827790607
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.9776426532579565
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9925039253053634
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9940546476324286
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,extreme,0.9939260406948331
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.9932694547340003
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.9917585700372038
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,front,0.9921860727143758
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9833581793605211
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9875558697651691
