representation,training_strategy,camera_group,condition,held_out_experiment,balanced_accuracy,balanced_misclassification_regret,test_image_count,train_image_count
dinov2,native_only,all,gamma_1p8_vignette,exp_20260730,0.8356481481481481,0.0030471156360751396,180,6318
dinov2,low_light_augmented,all,native,exp_20260730,0.75,0.0044704964015857065,180,7020
dinov2,low_light_augmented,all,dark_60pct,exp_20260730,0.6828703703703703,0.00652719978604378,180,7020
dinov2,low_light_augmented,all,gamma_1p8,exp_20260730,0.7777777777777778,0.0038979301348635994,180,7020
dinov2,low_light_augmented,all,gamma_2p2,exp_20260730,0.8055555555555556,0.0035692469263993148,180,7020
dinov2,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260730,0.775462962962963,0.005167309799495768,180,7020
dinov2,low_light_augmented,all,gamma_1p8_vignette,exp_20260730,0.8263888888888888,0.0026983412209425333,180,7020
dinov2,native_only,all,native,exp_20260731,0.7566137566137565,0.005164795954258229,180,7301
dinov2,native_only,all,dark_60pct,exp_20260731,0.7738095238095237,0.004740369798067877,180,7301
dinov2,native_only,all,gamma_1p8,exp_20260731,0.7962962962962963,0.003762292195754724,180,7301
dinov2,native_only,all,gamma_2p2,exp_20260731,0.7910052910052909,0.0034706078265093142,180,7301
dinov2,native_only,all,gamma_2p2_sensor_noise,exp_20260731,0.798941798941799,0.003586368267833551,180,7301
dinov2,native_only,all,gamma_1p8_vignette,exp_20260731,0.75,0.005194280206651997,180,7301
dinov2,low_light_augmented,all,native,exp_20260731,0.7447089947089947,0.005449646877793929,180,8003
dinov2,low_light_augmented,all,dark_60pct,exp_20260731,0.7142857142857143,0.00633519144094537,180,8003
dinov2,low_light_augmented,all,gamma_1p8,exp_20260731,0.7817460317460317,0.004152383764972973,180,8003
dinov2,low_light_augmented,all,gamma_2p2,exp_20260731,0.7923280423280423,0.004323235748945682,180,8003
dinov2,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260731,0.7394179894179894,0.0050182592434483,180,8003
dinov2,low_light_augmented,all,gamma_1p8_vignette,exp_20260731,0.7685185185185185,0.005116626200858382,180,8003
efficientnet,native_only,front,native,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,native_only,front,dark_60pct,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,native_only,front,gamma_1p8,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,native_only,front,gamma_2p2,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,native_only,front,gamma_2p2_sensor_noise,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,native_only,front,gamma_1p8_vignette,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
efficientnet,low_light_augmented,front,native,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,low_light_augmented,front,dark_60pct,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,low_light_augmented,front,gamma_1p8,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,low_light_augmented,front,gamma_2p2,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,low_light_augmented,front,gamma_1p8_vignette,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
efficientnet,native_only,front,native,exp_20260730,0.8055555555555556,0.004734022959589933,30,1068
efficientnet,native_only,front,dark_60pct,exp_20260730,0.8194444444444444,0.007209621370516152,30,1068
efficientnet,native_only,front,gamma_1p8,exp_20260730,0.7083333333333334,0.00590450123883174,30,1068
efficientnet,native_only,front,gamma_2p2,exp_20260730,0.7083333333333334,0.00590450123883174,30,1068
efficientnet,native_only,front,gamma_2p2_sensor_noise,exp_20260730,0.8611111111111112,0.0033646152255972957,30,1068
efficientnet,native_only,front,gamma_1p8_vignette,exp_20260730,0.8888888888888888,0.002422839668033994,30,1068
efficientnet,low_light_augmented,front,native,exp_20260730,0.8055555555555556,0.004734022959589933,30,1185
efficientnet,low_light_augmented,front,dark_60pct,exp_20260730,0.7916666666666667,0.005548235881148909,30,1185
efficientnet,low_light_augmented,front,gamma_1p8,exp_20260730,0.7916666666666667,0.005032450264197083,30,1185
efficientnet,low_light_augmented,front,gamma_2p2,exp_20260730,0.7083333333333334,0.00590450123883174,30,1185
efficientnet,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260730,0.9166666666666667,0.0010255897786754773,30,1185
efficientnet,low_light_augmented,front,gamma_1p8_vignette,exp_20260730,0.9444444444444444,0.0016791090657419395,30,1185
efficientnet,native_only,front,native,exp_20260731,0.7222222222222222,0.01047446582366938,30,1217
efficientnet,native_only,front,dark_60pct,exp_20260731,0.6031746031746031,0.01428679318567198,30,1217
efficientnet,native_only,front,gamma_1p8,exp_20260731,0.6825396825396826,0.011265690266563648,30,1217
efficientnet,native_only,front,gamma_2p2,exp_20260731,0.626984126984127,0.01186300793886182,30,1217
efficientnet,native_only,front,gamma_2p2_sensor_noise,exp_20260731,0.42857142857142855,0.017163202279879185,30,1217
efficientnet,native_only,front,gamma_1p8_vignette,exp_20260731,0.746031746031746,0.009962963633744278,30,1217
efficientnet,low_light_augmented,front,native,exp_20260731,0.7222222222222222,0.012109554932724103,30,1334
efficientnet,low_light_augmented,front,dark_60pct,exp_20260731,0.6825396825396826,0.012358692325353884,30,1334
efficientnet,low_light_augmented,front,gamma_1p8,exp_20260731,0.6587301587301587,0.011505937299719115,30,1334
efficientnet,low_light_augmented,front,gamma_2p2,exp_20260731,0.6825396825396826,0.011265690266563648,30,1334
