experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,camera_group,modality,regret_threshold
exp_20260731,True,1.0,1.0,1.0,0.0,79,7,top,time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top,rgb_time,0.02
exp_20260717,True,0.5,0.3333333333333333,1.0,0.02589134872648923,20,1,top,rgb_time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top,rgb_time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top,rgb_time,0.02
exp_20260723,True,1.0,1.0,1.0,0.0,91,6,top,rgb_time,0.02
exp_20260724,True,0.9565217391304348,0.9650776053215078,1.0,0.001092404952393665,63,4,top,rgb_time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top,rgb_time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top,rgb_time,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.9869281045751633,0.0013893369028592118,78,6,top,rgb_time,0.02
exp_20260730,True,0.9078947368421053,0.9026086956521739,0.9094427244582043,0.0036523972695165718,72,6,top,rgb_time,0.02
exp_20260731,True,0.9897959183673469,0.9866486395132669,1.0,0.00021830543986127578,79,7,top,rgb_time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top,rgb,0.05
exp_20260717,True,0.5,0.3684210526315789,1.0,0.03460524311497136,12,1,top,rgb,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top,rgb,0.05
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top,rgb,0.05
exp_20260723,True,0.9166666666666667,0.9493908153701969,1.0,0.004429302831543188,54,6,top,rgb,0.05
exp_20260724,True,1.0,1.0,1.0,0.0,36,4,top,rgb,0.05
exp_20260727,False,,,,,16,4,top,rgb,0.05
exp_20260728,False,,,,,15,6,top,rgb,0.05
exp_20260729,False,,,,,18,5,top,rgb,0.05
exp_20260730,True,0.75,0.6666666666666666,0.5,0.013231030490727274,3,2,top,rgb,0.05
exp_20260731,False,,,,,13,4,top,rgb,0.05
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top,time,0.05
exp_20260717,True,1.0,1.0,1.0,0.0,12,1,top,time,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top,time,0.05
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top,time,0.05
exp_20260723,True,1.0,1.0,1.0,0.0,54,6,top,time,0.05
exp_20260724,True,0.984375,0.9365079365079365,1.0,0.0008321279936023319,36,4,top,time,0.05
exp_20260727,False,,,,,16,4,top,time,0.05
exp_20260728,False,,,,,15,6,top,time,0.05
exp_20260729,False,,,,,18,5,top,time,0.05
exp_20260730,True,0.5,0.4,1.0,0.025673895198431832,3,2,top,time,0.05
exp_20260731,False,,,,,13,4,top,time,0.05
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top,rgb_time,0.05
exp_20260717,True,0.5,0.3684210526315789,1.0,0.03460524311497136,12,1,top,rgb_time,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top,rgb_time,0.05
