camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
top,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9052128427128427,0.815566378066378,0.9639249639249639,11,11
top,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8791332344150454,0.7599756170010133,0.9554002429538266,11,11
top,rgb,0.01,1.0,0.6539888682745826,auroc,0.9612620500641333,0.9308154210758378,0.985553466836019,11,11
top,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.002934459432812521,0.0005461507499075197,0.007071524470033326,11,11
top,time,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9261544011544011,0.8832702020202021,0.9641515602453103,11,11
top,time,0.01,1.0,0.6539888682745826,macro_f1,0.9157345831016485,0.8711289560152551,0.9567998313992178,11,11
top,time,0.01,1.0,0.6539888682745826,auroc,0.9646969446448612,0.9365769237514029,0.9873010862594196,11,11
top,time,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.001740078689610152,0.0006004095846282378,0.0032658609049499086,11,11
top,rgb_time,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9143668831168832,0.8234555375180376,0.9727633477633476,11,11
top,rgb_time,0.01,1.0,0.6539888682745826,macro_f1,0.8884466080378864,0.7664169238788231,0.9654039259038772,11,11
top,rgb_time,0.01,1.0,0.6539888682745826,auroc,0.9635476791726791,0.9351022501803752,0.9861342592592591,11,11
top,rgb_time,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.0027710256801710496,0.000407597287839032,0.006925440996822834,11,11
top,rgb,0.02,0.6621621621621622,0.4842300556586271,balanced_accuracy,0.935639535614537,0.8429382851538786,0.9941921432604662,11,11
top,rgb,0.02,0.6621621621621622,0.4842300556586271,macro_f1,0.9186780356887958,0.7955049113683329,0.9925911420255495,11,11
top,rgb,0.02,0.6621621621621622,0.4842300556586271,auroc,0.991233282254954,0.9773170299486089,1.0,11,11
top,rgb,0.02,0.6621621621621622,0.4842300556586271,balanced_misclassification_regret,0.0029739578028904774,0.0001461493038836807,0.007780785294287945,11,11
top,time,0.02,0.6621621621621622,0.4842300556586271,balanced_accuracy,0.967552883061784,0.9354857918712408,0.9956427015250544,11,11
top,time,0.02,0.6621621621621622,0.4842300556586271,macro_f1,0.9607524350953844,0.9236508867581381,0.9932190760059613,11,11
top,time,0.02,0.6621621621621622,0.4842300556586271,auroc,0.9840741246841215,0.9648650056298013,1.0,11,11
top,time,0.02,0.6621621621621622,0.4842300556586271,balanced_misclassification_regret,0.0011800433423937355,0.00015957797518873442,0.0024217714765241674,11,11
top,rgb_time,0.02,0.6621621621621622,0.4842300556586271,balanced_accuracy,0.9368357078633408,0.8449989731694633,0.9941921432604662,11,11
top,rgb_time,0.02,0.6621621621621622,0.4842300556586271,macro_f1,0.9199565633261874,0.7967834390057246,0.9925911420255495,11,11
top,rgb_time,0.02,0.6621621621621622,0.4842300556586271,auroc,0.9905791662757607,0.9741142070863432,1.0,11,11
top,rgb_time,0.02,0.6621621621621622,0.4842300556586271,balanced_misclassification_regret,0.0029312539355563594,0.0001461493038836807,0.007725349156227349,11,11
top,rgb,0.05,0.24211711711711711,0.1982065553494125,balanced_accuracy,0.880952380952381,0.7380952380952381,0.9880952380952381,11,7
top,rgb,0.05,0.24211711711711711,0.1982065553494125,macro_f1,0.8549255049526348,0.6744743771330857,0.9927701164814567,11,7
top,rgb,0.05,0.24211711711711711,0.1982065553494125,auroc,0.9285714285714286,0.7857142857142857,1.0,11,7
top,rgb,0.05,0.24211711711711711,0.1982065553494125,balanced_misclassification_regret,0.0074665109196059756,0.0006327575473633126,0.01735372323816922,11,7
top,time,0.05,0.24211711711711711,0.1982065553494125,balanced_accuracy,0.9263392857142857,0.7834821428571429,1.0,11,7
top,time,0.05,0.24211711711711711,0.1982065553494125,macro_f1,0.9052154195011338,0.7337868480725624,1.0,11,7
top,time,0.05,0.24211711711711711,0.1982065553494125,auroc,1.0,1.0,1.0,11,7
top,time,0.05,0.24211711711711711,0.1982065553494125,balanced_misclassification_regret,0.003786574741719166,0.0,0.011121973369842547,11,7
top,rgb_time,0.05,0.24211711711711711,0.1982065553494125,balanced_accuracy,0.880952380952381,0.7380952380952381,0.9880952380952381,11,7
top,rgb_time,0.05,0.24211711711711711,0.1982065553494125,macro_f1,0.8549255049526348,0.6744743771330857,0.9927701164814567,11,7
top,rgb_time,0.05,0.24211711711711711,0.1982065553494125,auroc,0.9285714285714286,0.7857142857142857,1.0,11,7
top,rgb_time,0.05,0.24211711711711711,0.1982065553494125,balanced_misclassification_regret,0.0074665109196059756,0.0006327575473633126,0.01735372323816922,11,7
top,rgb,0.1,0.10135135135135136,0.08493094207379921,balanced_accuracy,0.9375,0.875,1.0,9,2
top,rgb,0.1,0.10135135135135136,0.08493094207379921,macro_f1,0.9523809523809523,0.9047619047619047,1.0,9,2
top,rgb,0.1,0.10135135135135136,0.08493094207379921,auroc,1.0,1.0,1.0,9,2
top,rgb,0.1,0.10135135135135136,0.08493094207379921,balanced_misclassification_regret,0.0071446448902213,0.0,0.0142892897804426,9,2
top,time,0.1,0.10135135135135136,0.08493094207379921,balanced_accuracy,0.9375,0.875,1.0,9,2
top,time,0.1,0.10135135135135136,0.08493094207379921,macro_f1,0.9523809523809523,0.9047619047619047,1.0,9,2
top,time,0.1,0.10135135135135136,0.08493094207379921,auroc,1.0,1.0,1.0,9,2
top,time,0.1,0.10135135135135136,0.08493094207379921,balanced_misclassification_regret,0.006683706362687594,0.0,0.013367412725375187,9,2
top,rgb_time,0.1,0.10135135135135136,0.08493094207379921,balanced_accuracy,0.9375,0.875,1.0,9,2
top,rgb_time,0.1,0.10135135135135136,0.08493094207379921,macro_f1,0.9523809523809523,0.9047619047619047,1.0,9,2
top,rgb_time,0.1,0.10135135135135136,0.08493094207379921,auroc,1.0,1.0,1.0,9,2
top,rgb_time,0.1,0.10135135135135136,0.08493094207379921,balanced_misclassification_regret,0.0071446448902213,0.0,0.0142892897804426,9,2
top_close,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9066919191919193,0.8181786616161617,0.9652777777777778,11,11
top_close,rgb,0.01,1.0,0.6584605796198193,macro_f1,0.8798123720940473,0.7601994962082348,0.9569627918600361,11,11
top_close,rgb,0.01,1.0,0.6584605796198193,auroc,0.9220741642616642,0.8315280784030783,0.9796440972222221,11,11
top_close,rgb,0.01,1.0,0.6584605796198193,balanced_misclassification_regret,0.002950031973393964,0.0005674312122803581,0.007125244168135123,11,11
top_close,time,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9261544011544011,0.8832702020202021,0.9641515602453103,11,11
top_close,time,0.01,1.0,0.6584605796198193,macro_f1,0.9157345831016485,0.8711289560152551,0.9567998313992178,11,11
top_close,time,0.01,1.0,0.6584605796198193,auroc,0.9657973585056918,0.9396772850028058,0.9873070987654322,11,11
top_close,time,0.01,1.0,0.6584605796198193,balanced_misclassification_regret,0.0017810220991762071,0.0006004095816410062,0.0033816310246755875,11,11
top_close,rgb_time,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9126893939393939,0.8219681186868686,0.9714046717171718,11,11
top_close,rgb_time,0.01,1.0,0.6584605796198193,macro_f1,0.8861886319063083,0.765621207352421,0.964324880766602,11,11
top_close,rgb_time,0.01,1.0,0.6584605796198193,auroc,0.9276607844316178,0.8353907690496232,0.9843486952861954,11,11
top_close,rgb_time,0.01,1.0,0.6584605796198193,balanced_misclassification_regret,0.0028431853627450053,0.0004513258401048492,0.007050013908547489,11,11
top_close,rgb,0.02,0.6632882882882883,0.48831411654721096,balanced_accuracy,0.9351133246360745,0.8421559338448297,0.991992535650624,11,11
top_close,rgb,0.02,0.6632882882882883,0.48831411654721096,macro_f1,0.9149534876553893,0.7917221550954103,0.9889784113562107,11,11
top_close,rgb,0.02,0.6632882882882883,0.48831411654721096,auroc,0.9459498667445003,0.8525189980298339,1.0,11,11
top_close,rgb,0.02,0.6632882882882883,0.48831411654721096,balanced_misclassification_regret,0.0030483946617459925,0.00025260670961076576,0.007885202029489226,11,11
top_close,time,0.02,0.6632882882882883,0.48831411654721096,balanced_accuracy,0.9678577611105644,0.9364004260175822,0.9956427015250544,11,11
top_close,time,0.02,0.6632882882882883,0.48831411654721096,macro_f1,0.9609565583858518,0.9240915655502949,0.9932190760059613,11,11
top_close,time,0.02,0.6632882882882883,0.48831411654721096,auroc,0.9837825022026795,0.9641535859775849,1.0,11,11
top_close,time,0.02,0.6632882882882883,0.48831411654721096,balanced_misclassification_regret,0.0011433910506480974,0.00015957797518873442,0.002311814601287252,11,11
top_close,rgb_time,0.02,0.6632882882882883,0.48831411654721096,balanced_accuracy,0.9360409684208613,0.8426423200859291,0.9936659322820037,11,11
top_close,rgb_time,0.02,0.6632882882882883,0.48831411654721096,macro_f1,0.9161529729679345,0.792671300690479,0.9906588939938031,11,11
top_close,rgb_time,0.02,0.6632882882882883,0.48831411654721096,auroc,0.9481458895803582,0.8561144642155994,1.0,11,11
top_close,rgb_time,0.02,0.6632882882882883,0.48831411654721096,balanced_misclassification_regret,0.0030258511996516624,0.00019037832237390396,0.007885202029489226,11,11
top_close,rgb,0.05,0.24211711711711711,0.2000623247117482,balanced_accuracy,0.8928571428571429,0.75,1.0,11,7
top_close,rgb,0.05,0.24211711711711711,0.2000623247117482,macro_f1,0.862155388471178,0.6817042606516289,1.0,11,7
top_close,rgb,0.05,0.24211711711711711,0.2000623247117482,auroc,0.9285714285714286,0.7857142857142857,1.0,11,7
top_close,rgb,0.05,0.24211711711711711,0.2000623247117482,balanced_misclassification_regret,0.006869230415122256,0.0,0.01682739681944469,11,7
