cycle_name,valid,invalid_reason,anchor_start,q_clean_kw,power_clean_kw,cop_clean,observed_points
frost_cycle_000051,True,,2026-07-28 13:51:42.000000000,8.136287999999997,3.465,2.348135064935064,57.0
frost_cycle_000052,True,,2026-07-28 15:59:38.000000000,6.794172000000002,3.222,2.1086815642458108,58.0
frost_cycle_000053,True,,2026-07-28 18:12:24.000000000,7.63938,3.456,2.21046875,58.0
frost_cycle_000054,True,,2026-07-28 20:20:53.000000000,6.9590339999999955,3.274,2.125544899205863,59.0
frost_cycle_000055,True,,2026-07-28 22:32:26.000000000,7.044948000000002,3.201,2.200858481724462,57.0
frost_cycle_000056,True,,2026-07-29 09:46:02.000000000,9.404100000000001,3.567,2.6364171572750212,56.0
frost_cycle_000057,True,,2026-07-29 12:02:09.000000000,7.044947999999996,3.321,2.121333333333332,59.0
frost_cycle_000058,True,,2026-07-29 14:13:20.000000000,7.147115999999995,3.299,2.166449227038495,57.0
frost_cycle_000059,True,,2026-07-29 16:23:48.000000000,7.0995149999999985,3.2824999999999998,2.1628377760853006,58.0
frost_cycle_000060,True,,2026-07-29 18:36:17.000000000,7.941240000000002,3.461,2.294492921121064,58.0
frost_cycle_000061,True,,2026-07-29 20:48:05.000000000,8.407961999999994,3.475,2.4195574100719406,57.0
frost_cycle_000062,True,,2026-07-29 22:55:59.000000000,7.0623629999999995,3.3175,2.1288207987942727,58.0
frost_cycle_000063,True,,2026-07-30 09:56:11.000000000,9.414549000000004,3.628,2.5949694046306515,59.0
frost_cycle_000064,True,,2026-07-30 12:14:38.999999999,8.167634999999995,3.506,2.3296163719338265,59.0
frost_cycle_000065,True,,2026-07-30 14:23:21.000000000,7.854165,3.4875,2.2520903225806452,58.0
frost_cycle_000066,True,,2026-07-30 16:34:10.000000000,8.0033535,3.52,2.273679971590909,58.0
frost_cycle_000067,True,,2026-07-30 18:45:48.000000000,8.167635000000004,3.5235000000000003,2.3180459770114954,56.0
frost_cycle_000068,True,,2026-07-30 20:56:52.000000000,8.225685000000002,3.552,2.3157896959459463,59.0
frost_cycle_000069,True,,2026-07-30 23:02:44.000000000,6.408720000000006,3.2910000000000004,1.9473473108477681,58.0
frost_cycle_000070,True,,2026-07-31 09:32:29.000000000,9.216017999999998,3.5820000000000003,2.572869346733668,58.0
frost_cycle_000071,True,,2026-07-31 11:47:35.000000000,7.552305,3.4764999999999997,2.172387458650942,60.0
frost_cycle_000072,True,,2026-07-31 13:59:49.000000000,8.084623500000006,3.527,2.2922096682733217,58.0
frost_cycle_000073,True,,2026-07-31 16:09:33.000000000,8.251227,3.485,2.3676404591104734,57.0
frost_cycle_000074,True,,2026-07-31 18:14:51.000000000,7.774056000000003,3.1795,2.4450561409026585,52.0
frost_cycle_000075,True,,2026-07-31 19:10:42.000000000,6.78024,3.269,2.0741021719180175,57.0
frost_cycle_000076,True,,2026-07-31 21:26:54.000000000,8.012061000000005,3.611,2.2187928551647755,58.0
frost_cycle_000077,True,,2026-07-31 23:33:15.000000000,6.701291999999998,3.331,2.0117958570999694,55.0
frost_cycle_000078,True,,2026-08-03 09:59:42.000000000,9.083664000000008,3.497,2.597559050614815,56.0
frost_cycle_000079,True,,2026-08-03 12:16:55.000000000,8.045149499999999,3.469,2.3191552320553472,56.0
frost_cycle_000080,True,,2026-08-03 14:26:04.000000000,7.491933000000001,3.386,2.2126204961606617,56.0
frost_cycle_000081,True,,2026-08-03 16:38:22.000000000,7.973748000000006,3.502,2.2769126213592252,57.0
frost_cycle_000082,True,,2026-08-03 18:46:51.000000000,7.302689999999998,3.372,2.1656850533807823,59.0
frost_cycle_000083,True,,2026-08-03 20:59:34.000000000,8.282574000000004,3.5620000000000003,2.3252594048287487,56.0
frost_cycle_000084,True,,2026-08-03 23:06:00.000000000,7.241156999999995,3.281,2.2069969521487334,59.0
frost_cycle_000085,True,,2026-08-04 09:07:09.000000000,7.001990999999991,2.591,2.7024280200694677,55.0
frost_cycle_000086,True,,2026-08-04 10:11:55.000000000,7.401375,3.4210000000000003,2.1635121309558607,58.0
frost_cycle_000087,True,,2026-08-04 11:03:10.000000000,7.411823999999999,3.4880000000000004,2.124949541284403,58.0
frost_cycle_000088,True,,2026-08-04 12:17:24.000000000,7.30269,3.459,2.111214223764094,58.0
frost_cycle_000089,True,,2026-08-04 13:39:15.000000000,8.025993000000005,3.596,2.2319224137931046,57.0
frost_cycle_000090,True,,2026-08-04 15:19:05.000000000,9.06741,3.873,2.341185127807901,58.0
frost_cycle_000091,True,,2026-08-04 17:19:36.000000000,8.323209000000006,3.512,2.36993422551253,57.0
frost_cycle_000092,True,,2026-08-04 19:30:57.000000000,8.470655999999998,3.547,2.388118409923879,57.0
frost_cycle_000093,True,,2026-08-04 21:38:12.000000000,7.280050500000002,3.275,2.2229161832061077,56.0
frost_cycle_000094,True,,2026-08-04 23:39:53.000000000,4.931927999999992,1.5670000000000002,3.147369495851941,58.0
frost_cycle_000095,True,,2026-08-05 10:21:56.000000000,9.651393000000002,3.613,2.6712961527816224,58.0
frost_cycle_000096,True,,2026-08-05 12:36:05.000000000,7.509347999999999,3.349,2.2422657509704385,58.0
frost_cycle_000097,True,,2026-08-05 14:46:41.000000000,6.854543999999996,3.267,2.0981157024793378,56.0
frost_cycle_000098,True,,2026-08-05 16:57:51.000000000,6.603767999999999,3.248,2.0331798029556647,59.0
frost_cycle_000099,True,,2026-08-05 19:09:29.000000000,6.610734000000003,3.238,2.0416102532427436,58.0
frost_cycle_000100,True,,2026-08-05 21:21:12.000000000,6.615378000000002,3.21,2.0608654205607486,56.0
frost_cycle_000101,True,,2026-08-05 23:21:42.000000000,4.931927999999992,1.564,3.1534066496163633,53.0
