experiment_id,strategy,outcome,protocol,mae,event_count,mse,rmse,event_weighted_mae,macro_mae,improvement_vs_fixed_pct,improved_experiment_fraction,recommend_for_primary_cost
exp_20260720,mean,duration,leave_one_experiment_out,0.019651741293531,1,,,,,,,
exp_20260720,mean,electricity,leave_one_experiment_out,0.0397583706467661,1,,,,,,,
exp_20260720,mean,thermal_shortfall,leave_one_experiment_out,0.0972937263953181,1,,,,,,,
exp_20260720,time,cost,leave_one_experiment_out,0.0116698703047724,1,,,,,,,
exp_20260720,time,duration,leave_one_experiment_out,0.3438562754609844,1,,,,,,,
exp_20260720,time,electricity,leave_one_experiment_out,0.0103778635099872,1,,,,,,,
exp_20260720,time,thermal_shortfall,leave_one_experiment_out,0.0516944416908875,1,,,,,,,
exp_20260720,state,cost,leave_one_experiment_out,0.03195130930032,1,,,,,,,
exp_20260720,state,duration,leave_one_experiment_out,0.9914157088326956,1,,,,,,,
exp_20260720,state,electricity,leave_one_experiment_out,0.054814577898518,1,,,,,,,
exp_20260720,state,thermal_shortfall,leave_one_experiment_out,0.0536065935548184,1,,,,,,,
exp_20260720,dynamic,cost,leave_one_experiment_out,0.0009575037125959,1,,,,,,,
exp_20260720,dynamic,duration,leave_one_experiment_out,0.4437217980486601,1,,,,,,,
exp_20260720,dynamic,electricity,leave_one_experiment_out,0.0421050399355376,1,,,,,,,
exp_20260720,dynamic,thermal_shortfall,leave_one_experiment_out,0.096476986245932,1,,,,,,,
exp_20260720,nonlinear,cost,leave_one_experiment_out,0.0792545045905852,1,,,,,,,
exp_20260720,nonlinear,duration,leave_one_experiment_out,0.705726181785078,1,,,,,,,
exp_20260720,nonlinear,electricity,leave_one_experiment_out,0.0302162160575132,1,,,,,,,
exp_20260720,nonlinear,thermal_shortfall,leave_one_experiment_out,0.0960780050300886,1,,,,,,,
exp_20260720,component,cost,leave_one_experiment_out,0.0009575037125957,1,,,,,,,
exp_20260720,partial_pool,cost,leave_one_event_out_within_experiment,0.0017375061099063,1,,,,,,,
exp_20260720,partial_pool,duration,leave_one_event_out_within_experiment,0.019651741293531,1,,,,,,,
exp_20260721,mean,cost,leave_one_experiment_out,0.0374207249146739,3,,,,,,,
exp_20260721,mean,duration,leave_one_experiment_out,0.485897435897435,3,,,,,,,
exp_20260721,mean,electricity,leave_one_experiment_out,0.0514351068376069,3,,,,,,,
exp_20260721,mean,thermal_shortfall,leave_one_experiment_out,0.1463171634417016,3,,,,,,,
exp_20260721,time,cost,leave_one_experiment_out,0.0335891644201692,3,,,,,,,
exp_20260721,time,duration,leave_one_experiment_out,0.6046604385560403,3,,,,,,,
exp_20260721,time,electricity,leave_one_experiment_out,0.0190300717258987,3,,,,,,,
exp_20260721,time,thermal_shortfall,leave_one_experiment_out,0.05255744158973,3,,,,,,,
exp_20260721,state,cost,leave_one_experiment_out,0.090465308331384,3,,,,,,,
exp_20260721,state,duration,leave_one_experiment_out,0.8502368013070308,3,,,,,,,
exp_20260721,state,electricity,leave_one_experiment_out,0.075638420369288,3,,,,,,,
exp_20260721,state,thermal_shortfall,leave_one_experiment_out,0.0839552888745205,3,,,,,,,
exp_20260721,dynamic,cost,leave_one_experiment_out,0.0374699619085909,3,,,,,,,
exp_20260721,dynamic,duration,leave_one_experiment_out,0.5011938021480091,3,,,,,,,
exp_20260721,dynamic,electricity,leave_one_experiment_out,0.0232219095518184,3,,,,,,,
exp_20260721,dynamic,thermal_shortfall,leave_one_experiment_out,0.0788997168241969,3,,,,,,,
exp_20260721,nonlinear,cost,leave_one_experiment_out,0.067954901682729,3,,,,,,,
exp_20260721,nonlinear,duration,leave_one_experiment_out,0.76726052390792,3,,,,,,,
exp_20260721,nonlinear,electricity,leave_one_experiment_out,0.0370497356712666,3,,,,,,,
exp_20260721,nonlinear,thermal_shortfall,leave_one_experiment_out,0.1365024158545437,3,,,,,,,
exp_20260721,component,cost,leave_one_experiment_out,0.0374699619085909,3,,,,,,,
exp_20260721,partial_pool,cost,leave_one_event_out_within_experiment,0.0378566940016323,3,,,,,,,
exp_20260721,partial_pool,duration,leave_one_event_out_within_experiment,0.491459369817577,3,,,,,,,
exp_20260723,mean,cost,leave_one_experiment_out,0.2867735044589837,6,,,,,,,
exp_20260723,mean,duration,leave_one_experiment_out,3.497580645161292,6,,,,,,,
exp_20260723,mean,electricity,leave_one_experiment_out,0.1559456600955794,6,,,,,,,
exp_20260723,mean,thermal_shortfall,leave_one_experiment_out,0.3067468261731738,6,,,,,,,
exp_20260723,time,cost,leave_one_experiment_out,0.2943866764700344,6,,,,,,,
exp_20260723,time,duration,leave_one_experiment_out,3.6978852828722375,6,,,,,,,
exp_20260723,time,electricity,leave_one_experiment_out,0.174249185148247,6,,,,,,,
exp_20260723,time,thermal_shortfall,leave_one_experiment_out,0.2816815819803709,6,,,,,,,
exp_20260723,state,cost,leave_one_experiment_out,0.0797745575571215,6,,,,,,,
exp_20260723,state,duration,leave_one_experiment_out,0.8552278963471407,6,,,,,,,
exp_20260723,state,electricity,leave_one_experiment_out,0.0526917904280173,6,,,,,,,
exp_20260723,state,thermal_shortfall,leave_one_experiment_out,0.0729550153214103,6,,,,,,,
exp_20260723,dynamic,cost,leave_one_experiment_out,0.2059405352733704,6,,,,,,,
exp_20260723,dynamic,duration,leave_one_experiment_out,2.724384330496857,6,,,,,,,
exp_20260723,dynamic,electricity,leave_one_experiment_out,0.1617002618598763,6,,,,,,,
exp_20260723,dynamic,thermal_shortfall,leave_one_experiment_out,0.1423035082151897,6,,,,,,,
exp_20260723,nonlinear,cost,leave_one_experiment_out,0.1091821230296804,6,,,,,,,
exp_20260723,nonlinear,duration,leave_one_experiment_out,1.8859298222699945,6,,,,,,,
exp_20260723,nonlinear,electricity,leave_one_experiment_out,0.1051529849004301,6,,,,,,,
exp_20260723,nonlinear,thermal_shortfall,leave_one_experiment_out,0.0904917173575951,6,,,,,,,
exp_20260723,component,cost,leave_one_experiment_out,0.2059405352733704,6,,,,,,,
exp_20260723,partial_pool,cost,leave_one_event_out_within_experiment,0.2538323804873408,6,,,,,,,
exp_20260723,partial_pool,duration,leave_one_event_out_within_experiment,3.2365671641791067,6,,,,,,,
exp_20260724,mean,cost,leave_one_experiment_out,0.1848226241298208,3,,,,,,,
exp_20260724,mean,duration,leave_one_experiment_out,2.717179487179487,3,,,,,,,
exp_20260724,mean,electricity,leave_one_experiment_out,0.1193067592592592,3,,,,,,,
exp_20260724,mean,thermal_shortfall,leave_one_experiment_out,0.1536124340412722,3,,,,,,,
exp_20260724,time,cost,leave_one_experiment_out,0.2136691319738665,3,,,,,,,
exp_20260724,time,duration,leave_one_experiment_out,2.7202029959181804,3,,,,,,,
exp_20260724,time,electricity,leave_one_experiment_out,0.0892026181861994,3,,,,,,,
exp_20260724,time,thermal_shortfall,leave_one_experiment_out,0.2918316682124142,3,,,,,,,
exp_20260724,state,cost,leave_one_experiment_out,0.0739340744653314,3,,,,,,,
exp_20260724,state,duration,leave_one_experiment_out,1.1602010610360232,3,,,,,,,
exp_20260724,state,electricity,leave_one_experiment_out,0.0537771737625318,3,,,,,,,
exp_20260724,state,thermal_shortfall,leave_one_experiment_out,0.0472610807443764,3,,,,,,,
exp_20260724,dynamic,cost,leave_one_experiment_out,0.3689125040693473,3,,,,,,,
exp_20260724,dynamic,duration,leave_one_experiment_out,4.707900795026072,3,,,,,,,
exp_20260724,dynamic,electricity,leave_one_experiment_out,0.26760668469418,3,,,,,,,
exp_20260724,dynamic,thermal_shortfall,leave_one_experiment_out,0.2375277122191711,3,,,,,,,
exp_20260724,nonlinear,cost,leave_one_experiment_out,0.104583041991977,3,,,,,,,
exp_20260724,nonlinear,duration,leave_one_experiment_out,1.1798258621132955,3,,,,,,,
exp_20260724,nonlinear,electricity,leave_one_experiment_out,0.0641531599974646,3,,,,,,,
exp_20260724,nonlinear,thermal_shortfall,leave_one_experiment_out,0.159200577183629,3,,,,,,,
exp_20260724,component,cost,leave_one_experiment_out,0.368912504069347,3,,,,,,,
exp_20260724,partial_pool,cost,leave_one_event_out_within_experiment,0.177878430863759,3,,,,,,,
exp_20260724,partial_pool,duration,leave_one_event_out_within_experiment,2.6360696517412947,3,,,,,,,
exp_20260727,mean,cost,leave_one_experiment_out,0.1377170054288016,5,,,,,,,
exp_20260727,mean,duration,leave_one_experiment_out,1.7830158730158732,5,,,,,,,
exp_20260727,mean,electricity,leave_one_experiment_out,0.0761033835978836,5,,,,,,,
exp_20260727,mean,thermal_shortfall,leave_one_experiment_out,0.1800204138854151,5,,,,,,,
exp_20260727,time,cost,leave_one_experiment_out,0.1363346357191558,5,,,,,,,
exp_20260727,time,duration,leave_one_experiment_out,1.778880056080253,5,,,,,,,
exp_20260727,time,electricity,leave_one_experiment_out,0.0754914863610002,5,,,,,,,
exp_20260727,time,thermal_shortfall,leave_one_experiment_out,0.1581435320354586,5,,,,,,,
exp_20260727,state,cost,leave_one_experiment_out,0.1272751142159307,5,,,,,,,
exp_20260727,state,duration,leave_one_experiment_out,1.461032428637388,5,,,,,,,
exp_20260727,state,electricity,leave_one_experiment_out,0.0634120284242506,5,,,,,,,
exp_20260727,state,thermal_shortfall,leave_one_experiment_out,0.1497372288869009,5,,,,,,,
exp_20260727,dynamic,cost,leave_one_experiment_out,0.1926690732350734,5,,,,,,,
exp_20260727,dynamic,duration,leave_one_experiment_out,2.500701897444969,5,,,,,,,
exp_20260727,dynamic,electricity,leave_one_experiment_out,0.1183126739429412,5,,,,,,,
exp_20260727,dynamic,thermal_shortfall,leave_one_experiment_out,0.2060256591959288,5,,,,,,,
exp_20260727,nonlinear,cost,leave_one_experiment_out,0.1506153344159507,5,,,,,,,
exp_20260727,nonlinear,duration,leave_one_experiment_out,1.6281696744725132,5,,,,,,,
exp_20260727,nonlinear,electricity,leave_one_experiment_out,0.0728213729062974,5,,,,,,,
exp_20260727,nonlinear,thermal_shortfall,leave_one_experiment_out,0.1889603556657125,5,,,,,,,
exp_20260727,component,cost,leave_one_experiment_out,0.1926690732350732,5,,,,,,,
exp_20260727,partial_pool,cost,leave_one_event_out_within_experiment,0.1407054110638169,5,,,,,,,
exp_20260727,partial_pool,duration,leave_one_event_out_within_experiment,1.7541791044776125,5,,,,,,,
exp_20260728,mean,cost,leave_one_experiment_out,0.1870602024804445,6,,,,,,,
exp_20260728,mean,duration,leave_one_experiment_out,2.8384408602150537,6,,,,,,,
exp_20260728,mean,electricity,leave_one_experiment_out,0.1338640516726404,6,,,,,,,
