cycle_name,cohort_tier,minimum_location,is_censored,minutes_from_stable,near_opt_start_minutes,near_opt_end_minutes,t_star,cop_at_t_star_60s,q_at_t_star_60s_kw,power_at_t_star_60s_kw,front_image_time,front_image_path,front_image_available,front_image_offset_seconds
frost_cycle_000082,complete_observed_cycle,interior,False,50.0,28.0,111.11666666666666,2026-08-03 19:36:51.000000000,1.896958023379384,7.14015,3.7615,2026-08-03 19:37:05.033,dataset/images/frost_cycle_000082/front/20260803193705033.jpg,True,14.033
frost_cycle_000027,complete_observed_cycle,interior,False,52.0,34.0,88.0,2026-07-21 20:11:55.000000000,2.3978377981651393,6.538751999999998,2.726,,,False,
frost_cycle_000078,complete_observed_cycle,interior,False,52.0,28.0,116.8,2026-08-03 10:51:42.000000000,2.2053802462227186,7.8820289999999975,3.5725,2026-08-03 10:51:32.744,dataset/images/frost_cycle_000078/front/20260803105132744.jpg,True,9.256
frost_cycle_000080,complete_observed_cycle,interior,False,52.0,25.0,111.68333333333334,2026-08-03 15:18:04.000000000,1.959606936416184,7.119251999999997,3.634,2026-08-03 15:18:02.957,dataset/images/frost_cycle_000080/front/20260803151802957.jpg,True,1.0430000000000001
frost_cycle_000026,complete_observed_cycle,interior,False,53.0,35.0,87.0,2026-07-21 17:31:25.000000000,2.452356365001877,6.530625,2.662,,,False,
frost_cycle_000046,complete_observed_cycle,interior,False,53.0,34.0,112.36666666666666,2026-07-27 19:34:21.000000000,2.0505065717415114,7.575525,3.647,2026-07-27 19:34:11.610,dataset/images/frost_cycle_000046/front/20260727193411610.jpg,True,9.39
frost_cycle_000056,complete_observed_cycle,interior,False,53.0,29.0,107.0,2026-07-29 10:39:02.000000000,2.21083664729275,7.227225000000001,3.269,2026-07-29 10:38:56.098,,False,5.902
frost_cycle_000070,complete_observed_cycle,interior,False,53.0,28.0,115.6,2026-07-31 10:25:29.000000000,2.1513926659528892,8.037602999999995,3.745,2026-07-31 10:25:26.589,dataset/images/frost_cycle_000070/front/20260731102526589.jpg,True,2.411
frost_cycle_000100,complete_observed_cycle,interior,False,53.0,33.0,112.45,2026-08-05 22:14:12.000000000,1.94292418372994,7.021727999999996,3.614,2026-08-05 22:14:17.153,dataset/images/frost_cycle_000100/front/20260805221417153.jpg,True,5.153
frost_cycle_000047,complete_observed_cycle,interior,False,54.0,30.0,111.0,2026-07-27 21:45:37.000000000,2.0282287694974013,7.021728000000003,3.46,2026-07-27 21:45:41.703,,False,4.703
frost_cycle_000006,complete_observed_cycle,interior,False,55.0,35.0,55.266666666666666,2026-07-15 16:47:17.000000000,2.3793034410844665,6.89634000000001,2.881,2026-07-15 16:23:36.169,,False,1420.831
frost_cycle_000018,complete_observed_cycle,interior,False,58.0,34.0,84.0,2026-07-17 20:36:28.000000000,2.3143402450518393,7.366545000000006,3.1870000000000003,2026-07-17 20:36:26.877,,False,1.123
frost_cycle_000097,complete_observed_cycle,interior,False,58.0,31.0,113.63333333333334,2026-08-05 15:44:41.000000000,1.941629550321198,6.352991999999995,3.271,2026-08-05 15:44:46.881,dataset/images/frost_cycle_000097/front/20260805154446881.jpg,True,5.881
frost_cycle_000031,complete_observed_cycle,right_observed,False,58.68333333333333,44.0,58.68333333333333,2026-07-23 12:54:12.000000000,2.85548429752066,6.910271999999996,2.4210000000000003,2026-07-23 12:53:55.118,,False,16.882
frost_cycle_000024,complete_observed_cycle,interior,False,59.0,36.0,92.0,2026-07-21 11:11:12.000000000,2.4937180327868846,6.845255999999998,2.749,2026-07-21 11:11:01.186,dataset/images/frost_cycle_000024/front/20260721111101186.jpg,True,10.814
frost_cycle_000049,complete_observed_cycle,interior,False,59.0,33.0,116.83333333333333,2026-07-28 10:22:12.000000000,2.152798911218981,6.78024,3.152,2026-07-28 10:22:06.450,,False,5.55
frost_cycle_000017,complete_observed_cycle,interior,False,61.0,38.0,94.0,2026-07-17 17:26:51.000000000,2.3716021361815756,7.105320000000001,2.9935,2026-07-17 17:26:56.662,dataset/images/frost_cycle_000017/front/20260717172656662.jpg,True,5.662
frost_cycle_000099,complete_observed_cycle,interior,False,61.0,33.0,114.06666666666666,2026-08-05 20:10:29.000000000,1.9927188264058693,6.520176000000004,3.268,2026-08-05 20:10:16.987,dataset/images/frost_cycle_000099/front/20260805201016987.jpg,True,12.013
frost_cycle_000071,complete_observed_cycle,interior,False,63.0,26.0,111.28333333333333,2026-07-31 12:50:35.000000000,2.0473999444135647,7.366545000000006,3.595,2026-07-31 12:50:26.702,dataset/images/frost_cycle_000071/front/20260731125026702.jpg,True,8.298
frost_cycle_000098,complete_observed_cycle,interior,False,64.0,37.0,114.18333333333334,2026-08-05 18:01:51.000000000,2.01473058637084,6.356475,3.157,2026-08-05 18:01:46.951,dataset/images/frost_cycle_000098/front/20260805180146951.jpg,True,4.049
frost_cycle_000043,complete_observed_cycle,interior,False,69.0,27.0,130.03333333333333,2026-07-27 12:27:51.000000000,2.0879157303370772,6.689681999999996,3.203,2026-07-27 12:27:41.272,,False,9.728
frost_cycle_000029,complete_observed_cycle,right_observed,False,69.26666666666667,49.0,69.26666666666667,2026-07-23 10:42:50.000000000,2.9855031474820124,6.689681999999996,2.226,2026-07-23 10:42:25.045,,False,24.955
frost_cycle_000032,complete_observed_cycle,interior,False,75.0,50.0,120.0,2026-07-23 14:24:00.000000000,2.4714598233066885,5.874659999999998,2.378,2026-07-23 14:23:55.229,,False,4.771
frost_cycle_000034,complete_observed_cycle,interior,False,83.0,52.0,128.0,2026-07-23 19:57:34.000000000,2.6084512845370824,5.381235000000001,2.064,2026-07-23 19:57:45.261,dataset/images/frost_cycle_000034/front/20260723195745261.jpg,True,11.261
frost_cycle_000033,complete_observed_cycle,interior,False,85.0,54.0,132.0,2026-07-23 17:15:20.000000000,2.607236084452975,5.43348,2.084,2026-07-23 17:15:25.370,,False,5.37
frost_cycle_000090,complete_observed_cycle,interior,False,85.0,26.0,98.28333333333333,2026-08-04 16:44:05.000000000,1.8364051266020622,5.874659999999998,3.197,2026-08-04 16:44:13.339,dataset/images/frost_cycle_000090/front/20260804164413339.jpg,True,8.339
frost_cycle_000039,complete_observed_cycle,interior,False,89.0,54.0,131.0,2026-07-24 17:16:09.000000000,2.5514503879134347,6.248502000000001,2.45,2026-07-24 17:16:18.906,dataset/images/frost_cycle_000039/front/20260724171618906.jpg,True,9.906
frost_cycle_000065,complete_observed_cycle,interior,False,91.0,22.0,109.9,2026-07-30 15:54:21.000000000,1.9183189655172412,6.008175,3.132,2026-07-30 15:54:19.001,dataset/images/frost_cycle_000065/front/20260730155419001.jpg,True,1.999
frost_cycle_000040,complete_observed_cycle,interior,False,110.0,60.0,145.68333333333334,2026-07-24 20:19:48.000000000,2.480671728450202,5.554224000000002,2.243,2026-07-24 20:19:49.194,dataset/images/frost_cycle_000040/front/20260724201949194.jpg,True,1.194
frost_cycle_000036,complete_observed_cycle,interior,False,149.0,82.0,186.31666666666666,2026-07-24 11:53:47.000000000,2.9047156488549626,6.088284000000002,2.097,2026-07-24 11:53:43.811,dataset/images/frost_cycle_000036/front/20260724115343811.jpg,True,3.189
