cycle_name,cohort_tier,minimum_location,is_censored,minutes_from_stable,near_opt_start_minutes,near_opt_end_minutes,t_star,cop_at_t_star_60s,q_at_t_star_60s_kw,power_at_t_star_60s_kw,front_image_time,front_image_path,front_image_available,front_image_offset_seconds
frost_cycle_000058,A_observed_policy,interior,False,55.0,18.0,112.75,2026-07-29 15:08:20.000000000,1.9153310439560451,6.970644000000005,3.64,2026-07-29 15:08:26.301,,False,6.301
frost_cycle_000042,B_sensor_censored,right_boundary,True,55.8,14.0,55.8,2026-07-27 10:37:14.000000000,2.3566766226306726,8.205948000000003,3.486,,,False,
frost_cycle_000019,B_sensor_censored,interior,True,56.0,34.0,63.583333333333336,2026-07-17 23:44:46.000000000,2.377285714285717,6.489990000000007,2.7305,,,False,
frost_cycle_000028,B_sensor_censored,interior,True,56.0,34.0,98.0,2026-07-21 22:58:05.000000000,2.2911733046286322,6.385499999999998,2.797,,,False,
frost_cycle_000057,A_observed_policy,interior,False,56.0,20.0,113.35,2026-07-29 12:58:09.000000000,1.9033787174273535,6.883569000000003,3.618,2026-07-29 12:57:56.206,,False,12.794
frost_cycle_000027,A_observed_policy,interior,False,57.0,33.0,103.0,2026-07-21 20:16:55.000000000,2.291287852419074,6.58287,2.872,,,False,
frost_cycle_000026,A_observed_policy,interior,False,58.0,34.0,98.0,2026-07-21 17:36:25.000000000,2.3365384615384617,6.530625,2.791,,,False,
frost_cycle_000024,A_observed_policy,interior,False,59.0,34.0,98.0,2026-07-21 11:11:12.000000000,2.49190243902439,6.845255999999998,2.749,2026-07-21 11:11:01.186,,False,10.814
frost_cycle_000031,A_observed_policy,right_boundary,False,59.166666666666664,40.0,59.166666666666664,2026-07-23 12:54:41.000000000,2.9149735537190073,6.910271999999996,2.419,2026-07-23 12:53:55.118,,False,45.882
frost_cycle_000029,A_observed_policy,right_boundary,False,69.75,48.0,69.75,2026-07-23 10:43:19.000000000,2.993203124999999,6.845255999999998,2.234,2026-07-23 10:42:25.045,,False,53.955
frost_cycle_000020,A_observed_policy,interior,False,74.0,40.0,121.0,2026-07-20 11:18:40.000000000,2.54480287206266,7.79727599999999,3.063,2026-07-20 11:18:35.560,dataset/images/frost_cycle_000020/front/20260720111835560.jpg,True,4.4399999999999995
frost_cycle_000032,A_observed_policy,interior,False,86.0,50.0,136.0,2026-07-23 14:35:00.000000000,2.4215278917145198,5.903684999999999,2.44,2026-07-23 14:34:55.236,,False,4.764
frost_cycle_000034,A_observed_policy,interior,False,86.0,53.0,138.0,2026-07-23 20:00:34.000000000,2.57671498530852,5.261651999999999,2.0420000000000003,2026-07-23 20:00:45.265,,False,11.265
frost_cycle_000056,A_observed_policy,interior,False,88.0,17.0,118.23333333333333,2026-07-29 11:14:02.000000000,2.0188112551375266,6.385499999999998,3.165,2026-07-29 11:13:56.134,,False,5.866
frost_cycle_000039,A_observed_policy,interior,False,89.0,53.0,136.0,2026-07-24 17:16:09.000000000,2.5514503879134347,6.248502000000001,2.45,2026-07-24 17:16:18.906,,False,9.906
frost_cycle_000046,A_observed_policy,interior,False,92.0,23.0,112.71666666666667,2026-07-27 20:13:21.000000000,1.8918518634513015,6.040683000000006,3.192,2026-07-27 20:13:11.650,,False,9.35
frost_cycle_000065,A_observed_policy,interior,False,92.0,10.0,110.25,2026-07-30 15:55:21.000000000,1.8771880971270534,5.874660000000007,3.133,2026-07-30 15:55:19.000,dataset/images/frost_cycle_000065/front/20260730155519000.jpg,True,2.0
frost_cycle_000033,A_observed_policy,interior,False,94.0,56.0,148.95,2026-07-23 17:24:20.000000000,2.434354838709677,5.43348,2.232,2026-07-23 17:24:25.381,,False,5.381
frost_cycle_000035,B_sensor_censored,interior,True,104.0,58.0,117.15,2026-07-23 23:01:35.000000000,2.5316613995485344,5.607629999999994,2.215,,,False,
frost_cycle_000049,A_observed_policy,interior,False,105.0,14.0,117.16666666666667,2026-07-28 11:08:12.000000000,2.011726305609283,6.240374999999996,3.099,2026-07-28 10:31:06.469,,False,2225.531
frost_cycle_000068,A_observed_policy,right_boundary,False,108.53333333333332,16.0,108.53333333333333,2026-07-30 22:45:24.000000000,1.8367142857142864,5.554224000000002,3.024,2026-07-30 22:44:49.196,dataset/images/frost_cycle_000068/front/20260730224449196.jpg,True,34.804
frost_cycle_000076,A_observed_policy,right_boundary,False,108.8,10.0,108.8,2026-07-31 23:15:42.000000000,1.8393854231006792,5.874659999999998,3.2075,2026-07-31 23:14:56.971,dataset/images/frost_cycle_000076/front/20260731231456971.jpg,True,45.029
frost_cycle_000061,A_observed_policy,right_boundary,False,109.88333333333334,10.0,109.88333333333334,2026-07-29 22:37:58.000000000,1.931409278350517,5.554224000000002,2.907,2026-07-29 22:37:26.441,dataset/images/frost_cycle_000061/front/20260729223726441.jpg,True,31.559
frost_cycle_000071,A_observed_policy,right_boundary,False,111.63333333333334,14.0,111.63333333333334,2026-07-31 13:39:13.000000000,1.8895159362549787,5.558868000000004,3.009,2026-07-31 13:38:26.743,dataset/images/frost_cycle_000071/front/20260731133826743.jpg,True,46.257
frost_cycle_000054,A_observed_policy,right_boundary,False,113.5,18.0,113.5,2026-07-28 22:14:23.000000000,1.7242873900293245,5.241914999999997,3.0660000000000003,2026-07-28 22:13:36.864,,False,46.136
frost_cycle_000037,A_observed_policy,interior,False,114.0,65.0,146.21666666666667,2026-07-24 14:39:52.000000000,2.1107878207583313,5.511267000000004,2.608,2026-07-24 15:03:46.426,,False,1434.426
frost_cycle_000040,A_observed_policy,interior,False,114.0,60.0,145.91666666666666,2026-07-24 20:23:48.000000000,2.361781785392244,5.238431999999997,2.218,2026-07-24 20:23:49.193,,False,1.193
frost_cycle_000041,B_sensor_censored,interior,True,119.0,67.0,127.46666666666667,2026-07-24 23:09:16.000000000,2.487969461326994,5.517071999999999,2.2115,,,False,
frost_cycle_000044,A_observed_policy,interior,False,132.0,16.0,141.93333333333334,2026-07-27 16:01:54.000000000,1.77004918032787,5.074731000000003,2.866,2026-07-27 16:01:41.447,,False,12.553
frost_cycle_000036,A_observed_policy,interior,False,147.0,84.0,186.53333333333333,2026-07-24 11:51:47.000000000,2.9537692307692325,6.220638000000004,2.106,2026-07-24 11:51:43.806,,False,3.194
